*HASH_VALUE	sbrick ID	name	* noms français	description	description2
_AB92401B7E3525B8	bfaimqame08	Прицел в верхние передние лапы четвероногого  8		Позволяет прицелиться в верхние передние лапы четвероногого - эффективно для оружия, уровень которого не менее 190.	Прицел в верхние передние лапы четвероногого  8
_ABA2401C7E8509B9	bfaimqame09	Прицел в верхние передние лапы четвероногого  9		Позволяет прицелиться в верхние передние лапы четвероногого - эффективно для оружия, уровень которого не менее 215.	Прицел в верхние передние лапы четвероногого  9
_E9ED2C78AF183BDD	bfaimqame10	Прицел в верхние передние лапы четвероногого  10		Позволяет прицелиться в верхние передние лапы четвероногого - эффективно для оружия, уровень которого не менее 240.	Прицел в верхние передние лапы четвероногого  10
_E9FD307830383BDD	bfaimqame11	Прицел в верхние передние лапы четвероногого  11		Позволяет прицелиться в верхние передние лапы четвероногого - эффективно для оружия, уровень которого не менее 265.	Прицел в верхние передние лапы четвероногого  11
_1D07A9437B89F620	bfaimqhame01	Прицел в нижние передние лапы четвероногого  1		Позволяет прицелиться в нижние передние лапы четвероногого - эффективно для оружия, уровень которого не менее 25.	Прицел в нижние передние лапы четвероногого  1
_5E07AD437B89F61B	bfaimqhame02	Прицел в нижние передние лапы четвероногого  2		Позволяет прицелиться в нижние передние лапы четвероногого - эффективно для оружия, уровень которого не менее 50.	Прицел в нижние передние лапы четвероногого  2
_5E07B1437B89F61B	bfaimqhame03	Прицел в нижние передние лапы четвероногого  3		Позволяет прицелиться в нижние передние лапы четвероногого - эффективно для оружия, уровень которого не менее 70.	Прицел в нижние передние лапы четвероногого  3
_6107B5437B89F61B	bfaimqhame04	Прицел в нижние передние лапы четвероногого  4		Позволяет прицелиться в нижние передние лапы четвероногого - эффективно для оружия, уровень которого не менее 90.	Прицел в нижние передние лапы четвероногого  4
_60D53335F6852E16	bfaimqhame05	Прицел в нижние передние лапы четвероногого  5		Позволяет прицелиться в нижние передние лапы четвероногого - эффективно для оружия, уровень которого не менее 115.	Прицел в нижние передние лапы четвероногого  5
_A0D53735F6851A1A	bfaimqhame06	Прицел в нижние передние лапы четвероногого  6		Позволяет прицелиться в нижние передние лапы четвероногого - эффективно для оружия, уровень которого не менее 140.	Прицел в нижние передние лапы четвероногого  6
_E0D53B35F6852E1D	bfaimqhame07	Прицел в нижние передние лапы четвероногого  7		Позволяет прицелиться в нижние передние лапы четвероногого - эффективно для оружия, уровень которого не менее 165.	Прицел в нижние передние лапы четвероногого  7
_21D53F35F6851A21	bfaimqhame08	Прицел в нижние передние лапы четвероногого  8		Позволяет прицелиться в нижние передние лапы четвероногого - эффективно для оружия, уровень которого не менее 190.	Прицел в нижние передние лапы четвероногого  8
_A1D54335F6852E1A	bfaimqhame09	Прицел в нижние передние лапы четвероногого  9		Позволяет прицелиться в нижние передние лапы четвероногого - эффективно для оружия, уровень которого не менее 215.	Прицел в нижние передние лапы четвероногого  9
_A8C73C5EBFE9BBC5	bfaimqhame10	Прицел в нижние передние лапы четвероногого  10		Позволяет прицелиться в нижние передние лапы четвероногого - эффективно для оружия, уровень которого не менее 240.	Прицел в нижние передние лапы четвероногого  10
_E8D73C5EBF49C3C5	bfaimqhame11	Прицел в нижние передние лапы четвероногого  11		Позволяет прицелиться в нижние передние лапы четвероногого - эффективно для оружия, уровень которого не менее 265.	Прицел в нижние передние лапы четвероногого  11
_01FF3D3C5F55FBDE	bfaimqlme01	Прицел в верхние задние лапы четвероногого 1		Позволяет прицелиться в верхние задние лапы четвероногого - эффективно для оружия, уровень которого не менее 25.	Прицел в верхние задние лапы четвероногого 1
_010F413C5F55EBE1	bfaimqlme02	Прицел в верхние задние лапы четвероногого 2		Позволяет прицелиться в верхние задние лапы четвероногого - эффективно для оружия, уровень которого не менее 50.	Прицел в верхние задние лапы четвероногого 2
_011F453C5F55EFE3	bfaimqlme03	Прицел в верхние задние лапы четвероногого 3		Позволяет прицелиться в верхние задние лапы четвероногого - эффективно для оружия, уровень которого не менее 70.	Прицел в верхние задние лапы четвероногого 3
_012F493C5F55F3E5	bfaimqlme04	Прицел в верхние задние лапы четвероногого 4		Позволяет прицелиться в верхние задние лапы четвероногого - эффективно для оружия, уровень которого не менее 90.	Прицел в верхние задние лапы четвероногого 4
_E0C939D028D98E4F	bfaimqlme05	Прицел в верхние задние лапы четвероногого 5		Позволяет прицелиться в верхние задние лапы четвероногого - эффективно для оружия, уровень которого не менее 115.	Прицел в верхние задние лапы четвероногого 5
_E0D93DD028999A4F	bfaimqlme06	Прицел в верхние задние лапы четвероногого 6		Позволяет прицелиться в верхние задние лапы четвероногого - эффективно для оружия, уровень которого не менее 140.	Прицел в верхние задние лапы четвероногого 6
_E0E941D028F9A24F	bfaimqlme07	Прицел в верхние задние лапы четвероногого 7		Позволяет прицелиться в верхние задние лапы четвероногого - эффективно для оружия, уровень которого не менее 165.	Прицел в верхние задние лапы четвероногого 7
_E0F945D028B9AE4F	bfaimqlme08	Прицел в верхние задние лапы четвероногого 8		Позволяет прицелиться в верхние задние лапы четвероногого - эффективно для оружия, уровень которого не менее 190.	Прицел в верхние задние лапы четвероногого 8
_E00949D028198E50	bfaimqlme09	Прицел в верхние задние лапы четвероногого 9		Позволяет прицелиться в верхние задние лапы четвероногого - эффективно для оружия, уровень которого не менее 215.	Прицел в верхние задние лапы четвероногого 9
_B0B36BE690BEF5E5	bfaimqlme10	Прицел в верхние задние лапы четвероногого 10		Позволяет прицелиться в верхние задние лапы четвероногого - эффективно для оружия, уровень которого не менее 240.	Прицел в верхние задние лапы четвероногого 10
_B0D36BE7D1DEF5E5	bfaimqlme11	Прицел в верхние задние лапы четвероногого 11		Позволяет прицелиться в верхние задние лапы четвероногого - эффективно для оружия, уровень которого не менее 265.	Прицел в верхние задние лапы четвероногого 11
_80EE193C20E4F3DD	bfaimqfme01	Прицел в нижние задние лапы четвероногого 1		Позволяет прицелиться в нижние задние лапы четвероногого - эффективно для оружия, уровень которого не менее 25.	Прицел в нижние задние лапы четвероногого 1
_80FE1D3C20E4E3E0	bfaimqfme02	Прицел в нижние задние лапы четвероногого 2		Позволяет прицелиться в нижние задние лапы четвероногого - эффективно для оружия, уровень которого не менее 50.	Прицел в нижние задние лапы четвероногого 2
_800E213C20E4E7E2	bfaimqfme03	Прицел в нижние задние лапы четвероногого 3		Позволяет прицелиться в нижние задние лапы четвероногого - эффективно для оружия, уровень которого не менее 70.	Прицел в нижние задние лапы четвероногого 3
_801E253C20E4EBE4	bfaimqfme04	Прицел в нижние задние лапы четвероногого 4		Позволяет прицелиться в нижние задние лапы четвероногого - эффективно для оружия, уровень которого не менее 90.	Прицел в нижние задние лапы четвероногого 4
_5FB815D7E7E8AA4E	bfaimqfme05	Прицел в нижние задние лапы четвероногого 5		Позволяет прицелиться в нижние задние лапы четвероногого - эффективно для оружия, уровень которого не менее 115.	Прицел в нижние задние лапы четвероногого 5
_5FC819D7E7A8B64E	bfaimqfme06	Прицел в нижние задние лапы четвероногого 6		Позволяет прицелиться в нижние задние лапы четвероногого - эффективно для оружия, уровень которого не менее 140.	Прицел в нижние задние лапы четвероногого 6
_5FD81DD7E708BE4E	bfaimqfme07	Прицел в нижние задние лапы четвероногого 7		Позволяет прицелиться в нижние задние лапы четвероногого - эффективно для оружия, уровень которого не менее 165.	Прицел в нижние задние лапы четвероногого 7
_5FE821D7E7C8CA4E	bfaimqfme08	Прицел в нижние задние лапы четвероногого 8		Позволяет прицелиться в нижние задние лапы четвероногого - эффективно для оружия, уровень которого не менее 190.	Прицел в нижние задние лапы четвероногого 8
_5FF825D7E728AA4F	bfaimqfme09	Прицел в нижние задние лапы четвероногого 9		Позволяет прицелиться в нижние задние лапы четвероногого - эффективно для оружия, уровень которого не менее 215.	Прицел в нижние задние лапы четвероногого 9
_71A263E54ECEF1DC	bfaimqfme10	Прицел в нижние задние лапы четвероногого 10		Позволяет прицелиться в нижние задние лапы четвероногого - эффективно для оружия, уровень которого не менее 240.	Прицел в нижние задние лапы четвероногого 10
_71C263E68FEEF1DC	bfaimqfme11	Прицел в нижние задние лапы четвероногого 11		Позволяет прицелиться в нижние задние лапы четвероногого - эффективно для оружия, уровень которого не менее 265.	Прицел в нижние задние лапы четвероногого 11
_FC2A2F1C85354A1B	bsxeb01	Аура жизни		Повышает скорость восстановления здоровья у вас и ваших товарищей по группе, находящихся недалеко от вас.	Аура жизни
_0108081B703C9537	bsxeb02	Аура стойкости		Повышает скорость восстановления стойкости у вас и ваших товарищей по группе, находящихся недалеко от вас.	Аура стойкости
_BD39B89E66984274	bsxeb03	Аура сэпа		Повышает скорость восстановления сэпа у вас и ваших товарищей по группе, находящихся недалеко от вас.	Аура сэпа
_BB5BCF0588A9E912	bsxma01	Аура жизни - мощность 1		Повышает скорость восстановления здоровья у вас и ваших товарищей по группе, находящихся не более, чем в $2SP_LIFE_AURA метрах от вас на $SP_LIFE_AURA в течение $1SP_LIFE_AURA сек. Можно повторно использовать по прошествии $4SP_LIFE_AURA.	Аура жизни - бонус к регенерации: $SP_LIFE_AURA. Длительность: $1SP_LIFE_AURA. Задержка: $4SP_LIFE_AURA.
_BB5BD30588B9E912	bsxma02	Аура жизни - мощность 2		Повышает скорость восстановления здоровья у вас и ваших товарищей по группе, находящихся не более, чем в $2SP_LIFE_AURA метрах от вас на $SP_LIFE_AURA в течение $1SP_LIFE_AURA сек. Можно повторно использовать по прошествии $4SP_LIFE_AURA.	Аура жизни - бонус к регенерации: $SP_LIFE_AURA. Длительность: $1SP_LIFE_AURA. Задержка: $4SP_LIFE_AURA.
_BB5BD70588C9E912	bsxma03	Аура жизни - мощность 3		Повышает скорость восстановления здоровья у вас и ваших товарищей по группе, находящихся не более, чем в $2SP_LIFE_AURA метрах от вас на $SP_LIFE_AURA в течение $1SP_LIFE_AURA сек. Можно повторно использовать по прошествии $4SP_LIFE_AURA.	Аура жизни - бонус к регенерации: $SP_LIFE_AURA. Длительность: $1SP_LIFE_AURA. Задержка: $4SP_LIFE_AURA.
_BB5BDB0588D9E912	bsxma04	Аура жизни - мощность 4		Повышает скорость восстановления здоровья у вас и ваших товарищей по группе, находящихся не более, чем в $2SP_LIFE_AURA метрах от вас на $SP_LIFE_AURA в течение $1SP_LIFE_AURA сек. Можно повторно использовать по прошествии $4SP_LIFE_AURA.	Аура жизни - бонус к регенерации: $SP_LIFE_AURA. Длительность: $1SP_LIFE_AURA. Задержка: $4SP_LIFE_AURA.
_BB5BDF0588E9E912	bsxma05	Аура жизни - мощность 5		Повышает скорость восстановления здоровья у вас и ваших товарищей по группе, находящихся не более, чем в $2SP_LIFE_AURA метрах от вас на $SP_LIFE_AURA в течение $1SP_LIFE_AURA сек. Можно повторно использовать по прошествии $4SP_LIFE_AURA.	Аура жизни - бонус к регенерации: $SP_LIFE_AURA. Длительность: $1SP_LIFE_AURA. Задержка: $4SP_LIFE_AURA.
_BB5BE30588F9E912	bsxma06	Аура жизни - мощность 6		Повышает скорость восстановления здоровья у вас и ваших товарищей по группе, находящихся не более, чем в $2SP_LIFE_AURA метрах от вас на $SP_LIFE_AURA в течение $1SP_LIFE_AURA сек. Можно повторно использовать по прошествии $4SP_LIFE_AURA.	Аура жизни - бонус к регенерации: $SP_LIFE_AURA. Длительность: $1SP_LIFE_AURA. Задержка: $4SP_LIFE_AURA.
_BB5BE7058809E912	bsxma07	Аура жизни - мощность 7		Повышает скорость восстановления здоровья у вас и ваших товарищей по группе, находящихся не более, чем в $2SP_LIFE_AURA метрах от вас на $SP_LIFE_AURA в течение $1SP_LIFE_AURA сек. Можно повторно использовать по прошествии $4SP_LIFE_AURA.	Аура жизни - бонус к регенерации: $SP_LIFE_AURA. Длительность: $1SP_LIFE_AURA. Задержка: $4SP_LIFE_AURA.
_BB5BEB058819E912	bsxma08	Аура жизни - мощность 8		Повышает скорость восстановления здоровья у вас и ваших товарищей по группе, находящихся не более, чем в $2SP_LIFE_AURA метрах от вас на $SP_LIFE_AURA в течение $1SP_LIFE_AURA сек. Можно повторно использовать по прошествии $4SP_LIFE_AURA.	Аура жизни - бонус к регенерации: $SP_LIFE_AURA. Длительность: $1SP_LIFE_AURA. Задержка: $4SP_LIFE_AURA.
_BB5BEF058829E912	bsxma09	Аура жизни - мощность 9		Повышает скорость восстановления здоровья у вас и ваших товарищей по группе, находящихся не более, чем в $2SP_LIFE_AURA метрах от вас на $SP_LIFE_AURA в течение $1SP_LIFE_AURA сек. Можно повторно использовать по прошествии $4SP_LIFE_AURA.	Аура жизни - бонус к регенерации: $SP_LIFE_AURA. Длительность: $1SP_LIFE_AURA. Задержка: $4SP_LIFE_AURA.
_81DEE03E8B8E9553	bsxma10	Аура жизни - мощность 10		Повышает скорость восстановления здоровья у вас и ваших товарищей по группе, находящихся не более, чем в $2SP_LIFE_AURA метрах от вас на $SP_LIFE_AURA в течение $1SP_LIFE_AURA сек. Можно повторно использовать по прошествии $4SP_LIFE_AURA.	Аура жизни - бонус к регенерации: $SP_LIFE_AURA. Длительность: $1SP_LIFE_AURA. Задержка: $4SP_LIFE_AURA.
_81EEE03E8B9E9553	bsxma11	Аура жизни - мощность 11		Повышает скорость восстановления здоровья у вас и ваших товарищей по группе, находящихся не более, чем в $2SP_LIFE_AURA метрах от вас на $SP_LIFE_AURA в течение $1SP_LIFE_AURA сек. Можно повторно использовать по прошествии $4SP_LIFE_AURA.	Аура жизни - бонус к регенерации: $SP_LIFE_AURA. Длительность: $1SP_LIFE_AURA. Задержка: $4SP_LIFE_AURA.
_43E5DD040DEEEA8B	bsfmc01	Аура стойкости - мощность 1		Повышает скорость восстановления стойкости у вас и ваших товарищей по группе, находящихся не более, чем в $2SP_STAMINA_AURA метрах от вас на $SP_STAMINA_AURA в течение $1SP_STAMINA_AURA сек. Можно повторно использовать по прошествии $4SP_STAMINA_AURA.	Аура стойкости - бонус к регенерации: $SP_STAMINA_AURA. Длительность: $1SP_STAMINA_AURA. Задержка: $4SP_STAMINA_AURA.
_43E5DD040DFEEA8C	bsfmc02	Аура стойкости - мощность 2		Повышает скорость восстановления стойкости у вас и ваших товарищей по группе, находящихся не более, чем в $2SP_STAMINA_AURA метрах от вас на $SP_STAMINA_AURA в течение $1SP_STAMINA_AURA сек. Можно повторно использовать по прошествии $4SP_STAMINA_AURA.	Аура стойкости - бонус к регенерации: $SP_STAMINA_AURA. Длительность: $1SP_STAMINA_AURA. Задержка: $4SP_STAMINA_AURA.
_43E5DD040D0EEA8D	bsfmc03	Аура стойкости - мощность 3		Повышает скорость восстановления стойкости у вас и ваших товарищей по группе, находящихся не более, чем в $2SP_STAMINA_AURA метрах от вас на $SP_STAMINA_AURA в течение $1SP_STAMINA_AURA сек. Можно повторно использовать по прошествии $4SP_STAMINA_AURA.	Аура стойкости - бонус к регенерации: $SP_STAMINA_AURA. Длительность: $1SP_STAMINA_AURA. Задержка: $4SP_STAMINA_AURA.
_43E5DD040D1EEA8E	bsfmc04	Аура стойкости - мощность 4		Повышает скорость восстановления стойкости у вас и ваших товарищей по группе, находящихся не более, чем в $2SP_STAMINA_AURA метрах от вас на $SP_STAMINA_AURA в течение $1SP_STAMINA_AURA сек. Можно повторно использовать по прошествии $4SP_STAMINA_AURA.	Аура стойкости - бонус к регенерации: $SP_STAMINA_AURA. Длительность: $1SP_STAMINA_AURA. Задержка: $4SP_STAMINA_AURA.
_43E5DD040D2EEA8F	bsfmc05	Аура стойкости - мощность 5		Повышает скорость восстановления стойкости у вас и ваших товарищей по группе, находящихся не более, чем в $2SP_STAMINA_AURA метрах от вас на $SP_STAMINA_AURA в течение $1SP_STAMINA_AURA сек. Можно повторно использовать по прошествии $4SP_STAMINA_AURA.	Аура стойкости - бонус к регенерации: $SP_STAMINA_AURA. Длительность: $1SP_STAMINA_AURA. Задержка: $4SP_STAMINA_AURA.
_43E5DD040D3EEA90	bsfmc06	Аура стойкости - мощность 6		Повышает скорость восстановления стойкости у вас и ваших товарищей по группе, находящихся не более, чем в $2SP_STAMINA_AURA метрах от вас на $SP_STAMINA_AURA в течение $1SP_STAMINA_AURA сек. Можно повторно использовать по прошествии $4SP_STAMINA_AURA.	Аура стойкости - бонус к регенерации: $SP_STAMINA_AURA. Длительность: $1SP_STAMINA_AURA. Задержка: $4SP_STAMINA_AURA.
_43E5DD040D4EEA91	bsfmc07	Аура стойкости - мощность 7		Повышает скорость восстановления стойкости у вас и ваших товарищей по группе, находящихся не более, чем в $2SP_STAMINA_AURA метрах от вас на $SP_STAMINA_AURA в течение $1SP_STAMINA_AURA сек. Можно повторно использовать по прошествии $4SP_STAMINA_AURA.	Аура стойкости - бонус к регенерации: $SP_STAMINA_AURA. Длительность: $1SP_STAMINA_AURA. Задержка: $4SP_STAMINA_AURA.
_43E5DD040D5EEA92	bsfmc08	Аура стойкости - мощность 8		Повышает скорость восстановления стойкости у вас и ваших товарищей по группе, находящихся не более, чем в $2SP_STAMINA_AURA метрах от вас на $SP_STAMINA_AURA в течение $1SP_STAMINA_AURA сек. Можно повторно использовать по прошествии $4SP_STAMINA_AURA.	Аура стойкости - бонус к регенерации: $SP_STAMINA_AURA. Длительность: $1SP_STAMINA_AURA. Задержка: $4SP_STAMINA_AURA.
_43E5DD040D6EEA93	bsfmc09	Аура стойкости - мощность 9		Повышает скорость восстановления стойкости у вас и ваших товарищей по группе, находящихся не более, чем в $2SP_STAMINA_AURA метрах от вас на $SP_STAMINA_AURA в течение $1SP_STAMINA_AURA сек. Можно повторно использовать по прошествии $4SP_STAMINA_AURA.	Аура стойкости - бонус к регенерации: $SP_STAMINA_AURA. Длительность: $1SP_STAMINA_AURA. Задержка: $4SP_STAMINA_AURA.
_B067D62A75DE1952	bsfmc10	Аура стойкости - мощность 10		Повышает скорость восстановления стойкости у вас и ваших товарищей по группе, находящихся не более, чем в $2SP_STAMINA_AURA метрах от вас на $SP_STAMINA_AURA в течение $1SP_STAMINA_AURA сек. Можно повторно использовать по прошествии $4SP_STAMINA_AURA.	Аура стойкости - бонус к регенерации: $SP_STAMINA_AURA. Длительность: $1SP_STAMINA_AURA. Задержка: $4SP_STAMINA_AURA.
_B067D62A75EE1D52	bsfmc11	Аура стойкости - мощность 11		Повышает скорость восстановления стойкости у вас и ваших товарищей по группе, находящихся не более, чем в $2SP_STAMINA_AURA метрах от вас на $SP_STAMINA_AURA в течение $1SP_STAMINA_AURA сек. Можно повторно использовать по прошествии $4SP_STAMINA_AURA.	Аура стойкости - бонус к регенерации: $SP_STAMINA_AURA. Длительность: $1SP_STAMINA_AURA. Задержка: $4SP_STAMINA_AURA.
_1BAB27F9A60528F1	bsmma01	Аура сэпа - мощность 1		Повышает скорость восстановления сэпа у вас и ваших товарищей по группе, находящихся не более, чем в $2SP_SAP_AURA метрах от вас на $SP_SAP_AURA в течение $1SP_SAP_AURA сек. Можно повторно использовать по прошествии $4SP_SAP_AURA.	Аура сэпа - бонус к регенерации: $SP_SAP_AURA. Длительность: $1SP_SAP_AURA. Задержка: $4SP_SAP_AURA.
_1BAB27FAA61528F1	bsmma02	Аура сэпа - мощность 2		Повышает скорость восстановления сэпа у вас и ваших товарищей по группе, находящихся не более, чем в $2SP_SAP_AURA метрах от вас на $SP_SAP_AURA в течение $1SP_SAP_AURA сек. Можно повторно использовать по прошествии $4SP_SAP_AURA.	Аура сэпа - бонус к регенерации: $SP_SAP_AURA. Длительность: $1SP_SAP_AURA. Задержка: $4SP_SAP_AURA.
_1BAB27FBA62528F1	bsmma03	Аура сэпа - мощность 3		Повышает скорость восстановления сэпа у вас и ваших товарищей по группе, находящихся не более, чем в $2SP_SAP_AURA метрах от вас на $SP_SAP_AURA в течение $1SP_SAP_AURA сек. Можно повторно использовать по прошествии $4SP_SAP_AURA.	Аура сэпа - бонус к регенерации: $SP_SAP_AURA. Длительность: $1SP_SAP_AURA. Задержка: $4SP_SAP_AURA.
_1BAB27FCA63528F1	bsmma04	Аура сэпа - мощность 4		Повышает скорость восстановления сэпа у вас и ваших товарищей по группе, находящихся не более, чем в $2SP_SAP_AURA метрах от вас на $SP_SAP_AURA в течение $1SP_SAP_AURA сек. Можно повторно использовать по прошествии $4SP_SAP_AURA.	Аура сэпа - бонус к регенерации: $SP_SAP_AURA. Длительность: $1SP_SAP_AURA. Задержка: $4SP_SAP_AURA.
_1BAB27FDA64528F1	bsmma05	Аура сэпа - мощность 5		Повышает скорость восстановления сэпа у вас и ваших товарищей по группе, находящихся не более, чем в $2SP_SAP_AURA метрах от вас на $SP_SAP_AURA в течение $1SP_SAP_AURA сек. Можно повторно использовать по прошествии $4SP_SAP_AURA.	Аура сэпа - бонус к регенерации: $SP_SAP_AURA. Длительность: $1SP_SAP_AURA. Задержка: $4SP_SAP_AURA.
_1BAB27FEA65528F1	bsmma06	Аура сэпа - мощность 6		Повышает скорость восстановления сэпа у вас и ваших товарищей по группе, находящихся не более, чем в $2SP_SAP_AURA метрах от вас на $SP_SAP_AURA в течение $1SP_SAP_AURA сек. Можно повторно использовать по прошествии $4SP_SAP_AURA.	Аура сэпа - бонус к регенерации: $SP_SAP_AURA. Длительность: $1SP_SAP_AURA. Задержка: $4SP_SAP_AURA.
_1BAB27FFA66528F1	bsmma07	Аура сэпа - мощность 7		Повышает скорость восстановления сэпа у вас и ваших товарищей по группе, находящихся не более, чем в $2SP_SAP_AURA метрах от вас на $SP_SAP_AURA в течение $1SP_SAP_AURA сек. Можно повторно использовать по прошествии $4SP_SAP_AURA.	Аура сэпа - бонус к регенерации: $SP_SAP_AURA. Длительность: $1SP_SAP_AURA. Задержка: $4SP_SAP_AURA.
_1BAB2700A67528F1	bsmma08	Аура сэпа - мощность 8		Повышает скорость восстановления сэпа у вас и ваших товарищей по группе, находящихся не более, чем в $2SP_SAP_AURA метрах от вас на $SP_SAP_AURA в течение $1SP_SAP_AURA сек. Можно повторно использовать по прошествии $4SP_SAP_AURA.	Аура сэпа - бонус к регенерации: $SP_SAP_AURA. Длительность: $1SP_SAP_AURA. Задержка: $4SP_SAP_AURA.
_1BAB2701A68528F1	bsmma09	Аура сэпа - мощность 9		Повышает скорость восстановления сэпа у вас и ваших товарищей по группе, находящихся не более, чем в $2SP_SAP_AURA метрах от вас на $SP_SAP_AURA в течение $1SP_SAP_AURA сек. Можно повторно использовать по прошествии $4SP_SAP_AURA.	Аура сэпа - бонус к регенерации: $SP_SAP_AURA. Длительность: $1SP_SAP_AURA. Задержка: $4SP_SAP_AURA.
_E57C484EE2A7CFCC	bsmma10	Аура сэпа - мощность 10		Повышает скорость восстановления сэпа у вас и ваших товарищей по группе, находящихся не более, чем в $2SP_SAP_AURA метрах от вас на $SP_SAP_AURA в течение $1SP_SAP_AURA сек. Можно повторно использовать по прошествии $4SP_SAP_AURA.	Аура сэпа - бонус к регенерации: $SP_SAP_AURA. Длительность: $1SP_SAP_AURA. Задержка: $4SP_SAP_AURA.
_E57C4C4EE2B7CFCC	bsmma11	Аура сэпа - мощность 11		Повышает скорость восстановления сэпа у вас и ваших товарищей по группе, находящихся не более, чем в $2SP_SAP_AURA метрах от вас на $SP_SAP_AURA в течение $1SP_SAP_AURA сек. Можно повторно использовать по прошествии $4SP_SAP_AURA.	Аура сэпа - бонус к регенерации: $SP_SAP_AURA. Длительность: $1SP_SAP_AURA. Задержка: $4SP_SAP_AURA.
_A621181E53D0F9E9	BMTCFME00005	Создание кристаллов сэпа 1 		Позволяет создать кристалл сэпа: $MA_RECHARGE сэпа.	
_A541181E53D0F9E9	BMTCFME00020	Создание кристаллов сэпа 2 		Позволяет создать кристалл сэпа: $MA_RECHARGE сэпа.	
_E571181E53D0F9E9	BMTCFME00050	Создание кристаллов сэпа 3 		Позволяет создать кристалл сэпа: $MA_RECHARGE сэпа.	
_26211C1E53D0F9E9	BMTCFME00100	Создание кристаллов сэпа 4 		Позволяет создать кристалл сэпа: $MA_RECHARGE сэпа.	
_66711C1E53D0F9E9	BMTCFME00150	Создание кристаллов сэпа 5 		Позволяет создать кристалл сэпа: $MA_RECHARGE сэпа.	
_A621201E53D0F9E9	BMTCFME00200	Создание кристаллов сэпа 6 		Позволяет создать кристалл сэпа: $MA_RECHARGE сэпа.	
_E671201E53D0F9E9	BMTCFME00250	Создание кристаллов сэпа 7 		Позволяет создать кристалл сэпа: $MA_RECHARGE сэпа.	
_3670A9082882270A	BMTCFEA03	Создание кристалла		Базовая станза, необходимая для создания кристаллов.	
_917C7DA248C3483F	big_equip_item	Вы экипируете предмет		Вы экипируете предмет.	Вы экипируете предмет
_EC0E7AB8DE70CDB1	bfoa05	Круговая атака		Позволяет нанести повреждения всем активным противникам. Нанесенный урон делится на всех.	Возможность круговой атаки
_C86FD039D0823852	bfmf01	Круговая атака 1		Позволяет нанести повреждения всем активным противникам. Общая сумма урона не может превышать 200% вашего обычного урона. Заметьте, что эта станза не увеличивает повреждения, нанесенные каждому противнику по отдельности сверх обычного урона.	Круговая атака 1 - Максимальный совокупный урон: 200%
_C96FD039D1924052	bfmf02	Круговая атака 2		Позволяет нанести повреждения всем активным противникам. Общая сумма урона не может превышать 240% вашего обычного урона. Заметьте, что эта станза не увеличивает повреждения, нанесенные каждому противнику по отдельности сверх обычного урона.	Круговая атака 2 - Максимальный совокупный урон: 240%
_CA6FD039D2A24852	bfmf03	Круговая атака 3		Позволяет нанести повреждения всем активным противникам. Общая сумма урона не может превышать 280% вашего обычного урона. Заметьте, что эта станза не увеличивает повреждения, нанесенные каждому противнику по отдельности сверх обычного урона.	Круговая атака 3 - Максимальный совокупный урон: 280%
_487FD03950C25052	bfmf04	Круговая атака 4		Позволяет нанести повреждения всем активным противникам. Общая сумма урона не может превышать 320% вашего обычного урона. Заметьте, что эта станза не увеличивает повреждения, нанесенные каждому противнику по отдельности сверх обычного урона.	Круговая атака 4 - Максимальный совокупный урон: 320%
_497FD03951D25852	bfmf05	Круговая атака 5		Позволяет нанести повреждения всем активным противникам. Общая сумма урона не может превышать 360% вашего обычного урона. Заметьте, что эта станза не увеличивает повреждения, нанесенные каждому противнику по отдельности сверх обычного урона.	Круговая атака 5 - Максимальный совокупный урон: 360%
_C88FD039D0F26052	bfmf06	Круговая атака 6		Позволяет нанести повреждения всем активным противникам. Общая сумма урона не может превышать 400% вашего обычного урона. Заметьте, что эта станза не увеличивает повреждения, нанесенные каждому противнику по отдельности сверх обычного урона.	Круговая атака 6 - Максимальный совокупный урон: 400%
_C98FD039D1026852	bfmf07	Круговая атака 7		Позволяет нанести повреждения всем активным противникам. Общая сумма урона не может превышать 440% вашего обычного урона. Заметьте, что эта станза не увеличивает повреждения, нанесенные каждому противнику по отдельности сверх обычного урона.	Круговая атака 7 - Максимальный совокупный урон: 440%
_898FD03991127052	bfmf08	Круговая атака 8		Позволяет нанести повреждения всем активным противникам. Общая сумма урона не может превышать 470% вашего обычного урона. Заметьте, что эта станза не увеличивает повреждения, нанесенные каждому противнику по отдельности сверх обычного урона.	Круговая атака 8 - Максимальный совокупный урон: 470%
_C89FD039D0327852	bfmf09	Круговая атака 9		Позволяет нанести повреждения всем активным противникам. Общая сумма урона не может превышать 500% вашего обычного урона. Заметьте, что эта станза не увеличивает повреждения, нанесенные каждому противнику по отдельности сверх обычного урона.	Круговая атака 9 - Максимальный совокупный урон: 500%
_92579AE5EE0D459C	bsdea03	Ускорение бега		На короткий срок вы можете бежать со скоростью, вдвое превышающей обычную скорость.	Сила ускорения
_9A39D57BFEA1223A	bsdma01	Ускорение бега 1		Вы можете бежать со скоростью, вдвое превышающей обычную в течение $1SP_SPEEDING_UP секунд.	Ускорение бега 1 - Длительность: $1SP_SPEEDING_UP, Задержка: $2SP_SPEEDING_UP
