*HASH_VALUE	skill ID	name	ia	da	p	pia	pda	description
_1593C29DC08E165B	SFM1P	1 Handed Melee Piercing	a	the	1 Handed Melee Piercings		the	
_8CE54C7B65460C87	SFM1PS	Spear	a	the	Spears		the	
_093C6256AECD9909	SFM1PSE	Electric Spear	an	the	Electric Spears		the	
_B64ED5EF5EDA8F06	SFM1PSL	Living Spear	a	the	Living Spears		the	
_73B0BDDFDE948310	SFM1PSM	Master Spear	a	the	Master Spears		the	
_96C3C29D02EE0A5D	SFM1S	1 Handed Melee Slashing	a	the	1 Handed Melee Slashings		the	
_D315B84E2AA27C98	SFM1SA	Axe	an	the	Axes		the	
_78ADFD175B5EB7F5	SFM1SAB	Burning Axe	a	the	Burning Axes		the	
_C78995F56A549B6B	SFM1SAM	Master Axe	a	the	Master Axes		the	
_0915B88CE7460C8D	SFM1SS	Sword	a	the	Swords		the	
_73EE45F360948313	SFM1SSM	Master Sword	a	the	Master Swords		the	
_B68C5DF3648B8F09	SFM1SSW	Waving Sword	a	the	Waving Swords		the	
_F86B2AD2782EBD20	SFM2	2 Handed Melee Fight	a	the	2 Handed Melee Fights		the	
_2FBF2433BF019D04	SFM2B	2 Handed Melee Smashing	a	the	2 Handed Melee Smashings		the	
_20CDADD44B71B714	SFM2BM	2 Handed Mace	a	the	2 Handed Maces		the	
_9C72B9043E748FD8	SFM2BME	2 Handed Electric Mace	a	the	2 Handed Electric Maces		the	
_7371ABAB84FD2CCC	SFM2BMM	2 Handed Master Mace	a	the	2 Handed Master Maces		the	
_5593C29DC09E1A5B	SFM2P	2 Handed Melee Piercing	a	the	2 Handed Melee Piercings		the	
_DA260B769EF51070	SFM2PP	Pike	a	the	Pikes		the	
_37ADF902A12397A4	SFM2PPL	Living Pike	a	the	Living Pikes		the	
_F70D1DF7DF43974A	SFM2PPM	Master Pike	a	the	Master Pikes		the	
_D6C3C29D02FE0E5D	SFM2S	2 Handed Melee Slashing	a	the	2 Handed Melee Slashings		the	
_4E4295D2D6651F1D	SFM2SA	2 Handed Axe	a	the	2 Handed Axes		the	
_7C998790C4E9D4EB	SFM2SAB	2 Handed Burning Axe	a	the	2 Handed Burning Axes		the	
_019D8526C55101B7	SFM2SAM	2 Handed Master Axe	a	the	2 Handed Master Axes		the	
_F8ED45C7C6341163	SFM2SS	2 Handed Sword	a	the	2 Handed Swords		the	
_AA587F5BF23EC9DF	SFM2SSB	2 Handed Burning Sword	a	the	2 Handed Burning Swords		the	
_58D933B1FE1A541A	SFM2SSL	2 Handed Living Sword	a	the	2 Handed Living Swords		the	
_183957A63C3A54C0	SFM2SSM	2 Handed Master Sword	a	the	2 Handed Master Swords		the	
_58D933A9BE7C541A	SFM2SSW	2 Handed Waving Sword	a	the	2 Handed Waving Swords		the	
_DF188BF2F2187460	SFMC	Close Combat	a	the	Close Combats		the	
_6098839883769998	SFMCA	Advanced Close Combat	an	the	Advanced Close Combats		the	
_D6D5D066DF15B854	SFMCAD	Dagger	a	the	Daggers		the	
_BA9DD135EFD7CCE9	SFMCADL	Living Dagger	a	the	Living Daggers		the	
_3B1EA5C96E26FCEB	SFMCADM	Master Dagger	a	the	Master Daggers		the	
_BA9DB138B188CCE9	SFMCADW	Waving Dagger	a	the	Waving Daggers		the	
_41355D0B6010B6EC	SFMCAH	Hand To Hand	a	the	Hand To Hands		the	
_33562ACB91DCF8CA	SFMCAHM	Master Hand To Hand	a	the	Master Hand To Hands		the	
_DF566C21D768F8AB	SFR	Range Fight	a	the	Range Fights		the	
_796C3ED2784EC51D	SFR1	1 Handed Range Fight	a	the	1 Handed Range Fights		the	
_6CFE1948BAEAD680	SFR1A	Advanced 1 Handed Range Fight	an	the	Advanced 1 Handed Range Fights		the	
_5C8878F919A85063	SFR1AB	Bowpistol 	a	the	Bowpistols		the	
_CC428585BB9B6967	SFR1ABM	Master Bowpistol	a	the	Master Bowpistols		the	
_4F91917A7FE18168	SFR1ABW	Waving Bowpistol	a	the	Waving Bowpistols		the	
_1587247EE4D68763	SFR1AP	Pistol	a	the	Pistols		the	
_375F3549F498FCE3	SFR1APL	Living Pistol	a	the	Living Pistols		the	
_B8E009DD73E72CE5	SFR1APM	Master Pistol	a	the	Master Pistols		the	
_B97C3ED2784EC51E	SFR2	2 Handed Range Fight	a	the	2 Handed Range Fights		the	
_ACFE1948BA0AD680	SFR2A	Advanced 2 Handed Range Fight	an	the	Advanced 2 Handed Range Fights		the	
_761E05099FDCD5FF	SFR2AA	Autolauncher	an	the	Autolaunchers		the	
_AA2B77F770A02BC7	SFR2AAB	Burning Autolauncher	a	the	Burning Autolaunchers		the	
_AC3ABFE198CF651E	SFR2AAM	Master Autolauncher	a	the	Master Autolaunchers		the	
_1D160C9E2205FC8C	SFR2AB	Bowrifle	a	the	Bowrifles		the	
_52D653A403717150	SFR2ABE	Electric Bowrifle	an	the	Electric Bowrifles		the	
_0C521E1802CA9404	SFR2ABM	Master Bowrifle	a	the	Master Bowrifles		the	
_1B56309520454883	SFR2AL	Launcher	a	the	Launchers		the	
_3D708A732D6FA261	SFR2ALB	Burning Launcher	a	the	Burning Launchers		the	
_D2560BACC3A1D543	SFR2ALE	Electric Launcher	an	the	Electric Launchers		the	
_0D123623BD8AD8F9	SFR2ALM	Master Launcher	a	the	Master Launchers		the	
_C9667C75A1260469	SFR2AR	Rifle	a	the	Rifles		the	
_F6FD2DF1DABA8BF7	SFR2ARL	Living Rifle	a	the	Living Rifles		the	
_B35F15E15A747F01	SFR2ARM	Master Rifle	a	the	Master Rifles		the	
_C84552DEBD4BD51F	SCA	Armor Crafting	an	the	Armor Crafting		the	Armor Crafting
_3543A6C935EC9422	SCJ	Jewel Crafting	a	the	Jewel Crafting		the	Jewel Crafting
_2F3CD4BC7E09B74D	SCM	Melee Weapon Crafting	a	the	Melee Weapon Crafting		the	Melee Weapon Crafting
_F04DF0BE7D7ABF4B	SCR	Range Weapon Crafting	a	the	Range Weapon Crafting		the	Range Weapon Crafting
_FDFAEFE25BF970FC	SCAH	Heavy Armor Crafting	a	the	Heavy Armor Crafting		the	Heavy Armor Crafting
_7F3AEBCF59997CF2	SCAL	Light Armor Crafting	a	the	Light Armor Crafting		the	Light Armor Crafting
_315B3C28C62B731C	SCAM	Medium Armor Crafting	a	the	Medium Armor Crafting		the	Medium Armor Crafting
_3D28216407958A53	SCAS	Shield Crafting	a	the	Shield Crafting		the	Shield Crafting
_6BBCCE5EE3344A0E	SCJA	Anklet Crafting	an	the	Anklet Crafting		the	Anklet Crafting
_F418EFA634007283	SCJB	Bracelet Crafting	a	the	Bracelet Crafting		the	Bracelet Crafting
_B7B8695FC5857236	SCJD	Diadem Crafting	a	the	Diadem Crafting		the	Diadem Crafting
_6CEB8A6D2346F216	SCJE	Earring Crafting	an	the	Earring Crafting		the	Earring Crafting
_8A45F7BC98F6FA9D	SCJP	Pendant Crafting	a	the	Pendant Crafting		the	Pendant Crafting
_6BCCED2AF36A7DDD	SCJR	Ring Crafting	a	the	Ring Crafting		the	Ring Crafting
_C9164EC4B6AEE968	SCM1	One-handed Melee Weapon Crafting	a	the	One-handed Melee Weapon Craftings		the	One-handed Melee Weapon Crafting
_09164EC4B6AEF169	SCM2	Two-handed Melee Weapon Crafting	a	the	Two-handed Melee Weapon Craftings		the	Two-handed Melee Weapon Crafting
_C9C736CAF7AEE968	SCR1	One-handed Range Weapon Crafting	a	the	One-handed Range Weapon Craftings		the	One-handed Range Weapon Crafting
_09C736CAF7AEF169	SCR2	Two-handed Range Weapon Crafting	a	the	Two-handed Range Weapon Craftings		the	Two-handed Range Weapon Crafting
_31C943C86B3FF3F6	SCAHB	Heavy Boots Crafting	a	the	Heavy Boots Crafting		the	Heavy Boots Crafting
_7EE838303BC3EFFC	SCAHG	Heavy Gloves Crafting	a	the	Heavy Gloves Crafting		the	Heavy Gloves Crafting
_ECC8633592A34F8E	SCAHH	Heavy Helmet Crafting	a	the	Heavy Helmet Crafting		the	Heavy Helmet Crafting
_B5B90BD66B2FB704	SCAHP	Heavy Pants Crafting	a	the	Heavy Pants Crafting		the	Heavy Pants Crafting
_11F79F7935A46C8A	SCAHS	Heavy Sleeves Crafting	a	the	Heavy Sleeves Crafting		the	Heavy Sleeves Crafting
_6F1A7F35151487A3	SCAHV	Heavy Vest Crafting	a	the	Heavy Vest Crafting		the	Heavy Vest Crafting
_33B9F7C0ED6FCBFC	SCALB	Light Boots Crafting	a	the	Light Boots Crafting		the	Light Boots Crafting
_FD4834267B2217FB	SCALG	Light Gloves Crafting	a	the	Light Gloves Crafting		the	Light Gloves Crafting
_B7A9BFCEED5F8F0A	SCALP	Light Pants Crafting	a	the	Light Pants Crafting		the	Light Pants Crafting
_13378B6633F45494	SCALS	Light Sleeves Crafting	a	the	Light Sleeves Crafting		the	Light Sleeves Crafting
_F15A7B2213B49399	SCALV	Light Vest Crafting	a	the	Light Vest Crafting		the	Light Vest Crafting
_F43B6F75340F80C2	SCAMB	Medium Boots Crafting	a	the	Medium Boots Crafting		the	Medium Boots Crafting
_BE58303506349068	SCAMG	Medium Gloves Crafting	a	the	Medium Gloves Crafting		the	Medium Gloves Crafting
_711C6B67B8FF48DD	SCAMP	Medium Pants Crafting	a	the	Medium Pants Crafting		the	Medium Pants Crafting
_8AFFB9D32A860D0F	SCAMS	Medium Sleeves Crafting	a	the	Medium Sleeves Crafting		the	Medium Sleeves Crafting
_FC0D9B9D7F9F47D3	SCAMV	Medium Vest Crafting	a	the	Medium Vest Crafting		the	Medium Vest Crafting
_3C29C4103B5147DB	SCASS	Large Shield Crafting	a	the	Large Shield Craftings		the	Large Shield Crafting
_5C9A1BAC222E4016	SCASB	Buckler Crafting	a	the	Buckler Crafting		the	Buckler Crafting
_07AA76B3E0BDA03D	SCJAA	Advanced Anklet Crafting	an	the	Advanced Anklet Crafting		the	Advanced Anklet Crafting
_9FF4E6577FF88965	SCJBA	Advanced Bracelet Crafting	an	the	Advanced Bracelet Crafting		the	Advanced Bracelet Crafting
_026A2EAF9FED683D	SCJDA	Advanced Diadem Crafting	an	the	Advanced Diadem Crafting		the	Advanced Diadem Crafting
_421C02C29DFD384F	SCJEA	Advanced Earring Crafting	an	the	Advanced Earring Crafting		the	Advanced Earring Crafting
_3D9AD4412F1B9CEF	SCJPA	Advanced Pendant Crafting	an	the	Advanced Pendant Crafting		the	Advanced Pendant Crafting
_B01EB5499C9E636E	SCJRA	Advanced Ring Crafting	an	the	Advanced Ring Crafting		the	Advanced Ring Crafting
_2DAC4D42E960B9A3	SCM1M	Mace Crafting	a	the	Mace Crafting		the	Mace Crafting
_C7DB552B3370D54F	SCM1T	Staff Crafting	a	the	Staff Crafting		the	Staff Crafting
_C6DB8532F331B14F	SCM1P	Spear Crafting	a	the	Spear Crafting		the	Spear Crafting
_E1B9D5D1315B9105	SCM1A	Axe Crafting	an	the	Axe Crafting		the	Axe Crafting
_87DB4D35B960115C	SCM1S	Sword Crafting	a	the	Sword Crafting		the	Sword Crafting
_9FF1566EDA34BEE5	SCM1D	Dagger Crafting	a	the	Dagger Crafting		the	Dagger Crafting
_CFDAFF08BC59FF07	SCM2M	Two-handed Mace Crafting	a	the	Two-handed Mace Crafting		the	Two-handed Mace Crafting
_2E2A6D25EBE065AE	SCM2P	Pike Crafting	a	the	Pike Crafting		the	Pike Crafting
_DF4FBA35AF9CC8D0	SCM2A	Two-handed Axe Crafting	a	the	Two-handed Axe Crafting		the	Two-handed Axe Crafting
_2285FAE4AA0111EB	SCM2S	Two-handed Sword Crafting	a	the	Two-handed Sword Crafting		the	Two-handed Sword Crafting
_2157C63373B87B96	SCR1B	Bowpistol Crafting	a	the	Bowpistol Crafting		the	Bowpistol Crafting
_9F808E9224F53EFD	SCR1P	Pistol Crafting	a	the	Pistol Crafting		the	Pistol Crafting
_4797CC625852A3FB	SCR2A	Autolauncher Crafting	an	the	Autolauncher Crafting		the	Autolauncher Crafting
_E6ADBB3AC32216C4	SCR2B	Bowrifle Crafting	a	the	Bowrifle Crafting		the	Bowrifle Crafting
_A16C633209A32AD7	SCR2L	Launcher Crafting	a	the	Launcher Crafting		the	Launcher Crafting
_441C5130F6FFBD51	SCR2R	Rifle Crafting	a	the	Rifle Crafting		the	Rifle Crafting
_00CB92EA7F1922E0	SCAHBE	Expert Heavy Boots Crafting	an	the	Expert Heavy Boots Crafting		the	Expert Heavy Boots Crafting
_3A7A8A83C5610F9D	SCAHGE	Expert Heavy Gloves Crafting	an	the	Expert Heavy Gloves Crafting		the	Expert Heavy Gloves Crafting
_DEF813D0B6479581	SCAHHE	Expert Heavy Helmet Crafting	an	the	Expert Heavy Helmet Crafting		the	Expert Heavy Helmet Crafting
_08BB5AF87F191AD2	SCAHPE	Expert Heavy Pants Crafting	an	the	Expert Heavy Pants Crafting		the	Expert Heavy Pants Crafting
_DC9CA6B620DC6F0F	SCAHSE	Expert Heavy Sleeves Crafting	an	the	Expert Heavy Sleeves Crafting		the	Expert Heavy Sleeves Crafting
_226967D039B8B196	SCAHVE	Expert Heavy Vest Crafting	an	the	Expert Heavy Vest Crafting		the	Expert Heavy Vest Crafting
_020B6ACE81490AE6	SCALBE	Expert Light Boots Crafting	an	the	Expert Light Boots Crafting		the	Expert Light Boots Crafting
_FB998E7906C037A1	SCALGE	Expert Light Gloves Crafting	an	the	Expert Light Gloves Crafting		the	Expert Light Gloves Crafting
_0AFB32DC814902D8	SCALPE	Expert Light Pants Crafting	an	the	Expert Light Pants Crafting		the	Expert Light Pants Crafting
_5EDCA2A31E7C7B05	SCALSE	Expert Light Sleeves Crafting	an	the	Expert Light Sleeves Crafting		the	Expert Light Sleeves Crafting
_A5A963C27917C58C	SCALVE	Expert Light Vest Crafting	an	the	Expert Light Vest Crafting		the	Expert Light Vest Crafting
_F2DB25BC8A7DCEB4	SCAMBE	Expert Medium Boots Crafting	an	the	Expert Medium Boots Crafting		the	Expert Medium Boots Crafting
_C8DDFB80D280B7DD	SCAMGE	Expert Medium Gloves Crafting	an	the	Expert Medium Gloves Crafting		the	Expert Medium Gloves Crafting
_6FBC25BB074E96CF	SCAMPE	Expert Medium Pants Crafting	an	the	Expert Medium Pants Crafting		the	Expert Medium Pants Crafting
_2D53322B6177A897	SCAMSE	Expert Medium Sleeves Crafting	an	the	Expert Medium Sleeves Crafting		the	Expert Medium Sleeves Crafting
_F0230EAED6B9C6C6	SCAMVE	Expert Medium Vest Crafting	an	the	Expert Medium Vest Crafting		the	Expert Medium Vest Crafting
_049040BB9684F58F	SCASSE	Expert Shield Crafting	an	the	Expert Shield Crafting		the	Expert Shield Crafting
_F3874211E6527784	SCASBE	Expert Buckler Crafting	an	the	Expert Buckler Crafting		the	Expert Buckler Crafting
_FC2208D9D4B46D83	SCJAAE	Expert Anklet Crafting	an	the	Expert Anklet Crafting		the	Expert Anklet Crafting
_F47E2E7BF44D0CE7	SCJBAE	Expert Bracelet Crafting	an	the	Expert Bracelet Crafting		the	Expert Bracelet Crafting
_7E4008C2D0945D7E	SCJDAE	Expert Diadem Crafting	an	the	Expert Diadem Crafting		the	Expert Diadem Crafting
_FE8050C69AE4A976	SCJEAE	Expert Earring Crafting	an	the	Expert Earring Crafting		the	Expert Earring Crafting
_7787CE0E6831E785	SCJPAE	Expert Pendant Crafting	an	the	Expert Pendant Crafting		the	Expert Pendant Crafting
_341A276FF84CFC99	SCJRAE	Expert Ring Crafting	an	the	Expert Ring Crafting		the	Expert Ring Crafting
_AB2CFB85F4ACBCBD	SCM1ME	Expert Mace Crafting	an	the	Expert Mace Crafting		the	Expert Mace Crafting
_8AC0A44F520E94D5	SCM1TE	Expert Staff Crafting	an	the	Expert Staff Crafting		the	Expert Staff Crafting
_8B80D456120EB4CC	SCM1PE	Expert Spear Crafting	an	the	Expert Spear Crafting		the	Expert Spear Crafting
_C2210BBCC1569792	SCM1AE	Expert Axe Crafting	an	the	Expert Axe Crafting		the	Expert Axe Crafting
_0DF09C59D81E98E0	SCM1SE	Expert Sword Crafting	an	the	Expert Sword Crafting		the	Expert Sword Crafting
_B91208CDD2C47579	SCM1DE	Expert Dagger Crafting	an	the	Expert Dagger Crafting		the	Expert Dagger Crafting
_A4577292FBABF582	SCM2ME	Expert Two-handed Mace Crafting	an	the	Expert Two-handed Mace Crafting		the	Expert Two-handed Mace Crafting
_AC2A1B6DB72CE8A8	SCM2PE	Expert Pike Crafting	an	the	Expert Pike Crafting		the	Expert Pike Crafting
_7470A074F53EC65D	SCM2AE	Expert Two-handed Axe Crafting	an	the	Expert Two-handed Axe Crafting		the	Expert Two-handed Axe Crafting
_3BDC6C179CA833EF	SCM2SE	Expert Two-handed Sword Crafting	an	the	Expert Two-handed Sword Crafting		the	Expert Two-handed Sword Crafting
_42676DAF3C2C76B3	SCR1BE	Expert Bowpistol Crafting	an	the	Expert Bowpistol Crafting		the	Expert Bowpistol Crafting
_BCA158E15A95058D	SCR1PE	Expert Pistol Crafting	an	the	Expert Pistol Crafting		the	Expert Pistol Crafting
_383E5ABE8220C7DC	SCR2AE	Expert Autolauncher Crafting	an	the	Expert Autolauncher Crafting		the	Expert Autolauncher Crafting
_B481EE84793A44CD	SCR2BE	Expert Bowrifle Crafting	an	the	Expert Bowrifle Crafting		the	Expert Bowrifle Crafting
_EE1FC664FFFC34E8	SCR2LE	Expert Launcher Crafting	an	the	Expert Launcher Crafting		the	Expert Launcher Crafting
_0B609C5415AD60D8	SCR2RE	Expert Rifle Crafting	an	the	Expert Rifle Crafting		the	Expert Rifle Crafting
_79BC6D1AAA1855E9	SCAHBEM	Master Heavy Boots Crafting	a	the	Master Heavy Boots Crafting		the	Master Heavy Boots Crafting
_A52D9F3FC8EDEAD6	SCAHGEM	Master Heavy Gloves Crafting	a	the	Master Heavy Gloves Crafting		the	Master Heavy Gloves Crafting
_093E7B7C827404B3	SCAHHEM	Master Heavy Helmet Crafting	a	the	Master Heavy Helmet Crafting		the	Master Heavy Helmet Crafting
_FDAC3528AA0819F7	SCAHPEM	Master Heavy Pants Crafting	a	the	Master Heavy Pants Crafting		the	Master Heavy Pants Crafting
_BEE632C5CDF88A1C	SCAHSEM	Master Heavy Sleeves Crafting	a	the	Master Heavy Sleeves Crafting		the	Master Heavy Sleeves Crafting
_CAAFCF7CC7E504D6	SCAHVEM	Master Heavy Vest Crafting	a	the	Master Heavy Vest Crafting		the	Master Heavy Vest Crafting
_7BAC21122C482DEF	SCALBEM	Master Light Boots Crafting	a	the	Master Light Boots Crafting		the	Master Light Boots Crafting
_66FC7F49894C02DA	SCALGEM	Master Light Gloves Crafting	a	the	Master Light Gloves Crafting		the	Master Light Gloves Crafting
_FF9CE9202C38F1FD	SCALPEM	Master Light Pants Crafting	a	the	Master Light Pants Crafting		the	Master Light Pants Crafting
_40D60AC64B988612	SCALSEM	Master Light Sleeves Crafting	a	the	Master Light Sleeves Crafting		the	Master Light Sleeves Crafting
_4D9FA782874408CC	SCALVEM	Master Light Vest Crafting	a	the	Master Light Vest Crafting		the	Master Light Vest Crafting
_797A169746CAEDF0	SCAMBEM	Master Medium Boots Crafting	a	the	Master Medium Boots Crafting		the	Master Medium Boots Crafting
_C913639F40BC0EDC	SCAMGEM	Master Medium Gloves Crafting	a	the	Master Medium Gloves Crafting		the	Master Medium Gloves Crafting
_F65B169683CB25FD	SCAMPEM	Master Medium Pants Crafting	a	the	Master Medium Pants Crafting		the	Master Medium Pants Crafting
_0F72FEEE93A6779B	SCAMSEM	Master Medium Sleeves Crafting	a	the	Master Medium Sleeves Crafting		the	Master Medium Sleeves Crafting
_4400C5EFBE78A9C6	SCAMVEM	Master Medium Vest Crafting	a	the	Master Medium Vest Crafting		the	Master Medium Vest Crafting
_D08FDC98487410C6	SCASSEM	Master Shield Crafting	a	the	Master Shield Crafting		the	Master Shield Crafting
_E56886E1202C6126	SCASBEM	Master Buckler Crafting	a	the	Master Buckler Crafting		the	Master Buckler Crafting
_CCB0DCB18723D0BA	SCJAAEM	Master Anklet Crafting	a	the	Master Anklet Crafting		the	Master Anklet Crafting
_3FAD928BA198C403	SCJBAEM	Master Bracelet Crafting	a	the	Master Bracelet Crafting		the	Master Bracelet Crafting
_8C3FBC98C483B4B5	SCJDAEM	Master Diadem Crafting	a	the	Master Diadem Crafting		the	Master Diadem Crafting
_8A6FF4A84863FCAD	SCJEAEM	Master Earring Crafting	a	the	Master Earring Crafting		the	Master Earring Crafting
_2A2822F0DBED9929	SCJPAEM	Master Pendant Crafting	a	the	Master Pendant Crafting		the	Master Pendant Crafting
_6838185575AABBF7	SCJRAEM	Master Ring Crafting	a	the	Master Ring Crafting		the	Master Ring Crafting
_DF48E44232398FFB	SCM1MEM	Master Mace Crafting	a	the	Master Mace Crafting		the	Master Mace Crafting
_38A4745D07EA67FB	SCM1TEM	Master Staff Crafting	a	the	Master Staff Crafting		the	Master Staff Crafting
_3925606DC52A87F2	SCM1PEM	Master Spear Crafting	a	the	Master Spear Crafting		the	Master Spear Crafting
_C37DF2F36F05E6C8	SCM1AEM	Master Axe Crafting	a	the	Master Axe Crafting		the	Master Axe Crafting
_BBB4A469CACA6B06	SCM1SEM	Master Sword Crafting	a	the	Master Sword Crafting		the	Master Sword Crafting
_08C0C8A64333CCB0	SCM1DEM	Master Dagger Crafting	a	the	Master Dagger Crafting		the	Master Dagger Crafting
_58A86A3DBA572017	SCM2MEM	Master Two-handed Mace Crafting	a	the	Master Two-handed Mace Crafting		the	Master Two-handed Mace Crafting
_E0480452F56AAF06	SCM2PEM	Master Pike Crafting	a	the	Master Pike Crafting		the	Master Pike Crafting
_80207C2CF11E6694	SCM2AEM	Master Two-handed Axe Crafting	a	the	Master Two-handed Axe Crafting		the	Master Two-handed Axe Crafting
_03FC48F60F95EC28	SCM2SEM	Master Two-handed Sword Crafting	a	the	Master Two-handed Sword Crafting		the	Master Two-handed Sword Crafting
_B3A5257826ADCD2F	SCR1BEM	Master Bowpistol Crafting	a	the	Master Bowpistol Crafting		the	Master Bowpistol Crafting
_8A5024B9CA452CC4	SCR1PEM	Master Pistol Crafting	a	the	Master Pistol Crafting		the	Master Pistol Crafting
_670C8395415CF641	SCR2AEM	Master Autolauncher Crafting	a	the	Master Autolauncher Crafting		the	Master Autolauncher Crafting
_BB507E9BE0B6C0FF	SCR2BEM	Master Bowrifle Crafting	a	the	Master Bowrifle Crafting		the	Master Bowrifle Crafting
_386E5E7D63F8BC06	SCR2LEM	Master Launcher Crafting	a	the	Master Launcher Crafting		the	Master Launcher Crafting
_B9348861C62A37FE	SCR2REM	Master Rifle Crafting	a	the	Master Rifle Crafting		the	Master Rifle Crafting
_2562F2A1E5A6ECCE	SCMC	Close Combat Weapon Crafting	a	the	Close Combat Weapon Crafting		the	Close Combat Weapon Crafting
_80C9965548175036	SCMCA	Advanced Magic Amplifier Crafting	a	the	Advanced Magic Amplifier Crafting		the	Advanced Magic Amplifier Crafting
_7CF7AC665E6FB8A3	SCMCAE	Expert Magic Amplifier Crafting	a	the	Expert Magic Amplifier Crafting		the	Expert Magic Amplifier Crafting
_5FDB6AB40ED68708	SCMCAEM	Master Magic Amplifier Crafting	a	the	Master Magic Amplifier Crafting		the	Master Magic Amplifier Crafting
