*HASH_VALUE	sphrase ID	name	named	* noms français	ia	da	p	pd	pia	pda	description
_283F06F722B3B322	abcoc09	Ausdauer-Bonus auf Handwerkserzeugnis 9	Ausdauer-Bonus auf Handwerkserzeugnis 9		ein	die	Ausdauer-Boni auf Handwerkserzeugnis 9	Ausdauer-Boni auf Handwerkserzeugnis 9		die	Stanza (Teil einer Aktion) zum Einbau in eine Handwerksaktion; das hergestellte Objekt gibt dem Träger einen Bonus auf seine Maximal-Ausdauer-Punkte: 45
_22254E2169AF98FA	abcoc10	Ausdauer-Bonus auf Handwerkserzeugnis 10	Ausdauer-Bonus auf Handwerkserzeugnis 10		ein	die	Ausdauer-Boni auf Handwerkserzeugnis 10	Ausdauer-Boni auf Handwerkserzeugnis 10		die	Stanza (Teil einer Aktion) zum Einbau in eine Handwerksaktion; das hergestellte Objekt gibt dem Träger einen Bonus auf seine Maximal-Ausdauer-Punkte: 50
_22354E2169BF98FA	abcoc11	Ausdauer-Bonus auf Handwerkserzeugnis 11	Ausdauer-Bonus auf Handwerkserzeugnis 11		ein	die	Ausdauer-Boni auf Handwerkserzeugnis 11	Ausdauer-Boni auf Handwerkserzeugnis 11		die	Stanza (Teil einer Aktion) zum Einbau in eine Handwerksaktion; das hergestellte Objekt gibt dem Träger einen Bonus auf seine Maximal-Ausdauer-Punkte: 55
_22454E2169CF98FA	abcoc12	Ausdauer-Bonus auf Handwerkserzeugnis 12	Ausdauer-Bonus auf Handwerkserzeugnis 12		ein	die	Ausdauer-Boni auf Handwerkserzeugnis 12	Ausdauer-Boni auf Handwerkserzeugnis 12		die	Stanza (Teil einer Aktion) zum Einbau in eine Handwerksaktion; das hergestellte Objekt gibt dem Träger einen Bonus auf seine Maximal-Ausdauer-Punkte: 60
_22554E2169DF98FA	abcoc13	Ausdauer-Bonus auf Handwerkserzeugnis 13	Ausdauer-Bonus auf Handwerkserzeugnis 13		ein	die	Ausdauer-Boni auf Handwerkserzeugnis 13	Ausdauer-Boni auf Handwerkserzeugnis 13		die	Stanza (Teil einer Aktion) zum Einbau in eine Handwerksaktion; das hergestellte Objekt gibt dem Träger einen Bonus auf seine Maximal-Ausdauer-Punkte: 65
_22654E2169EF98FA	abcoc14	Ausdauer-Bonus auf Handwerkserzeugnis 14	Ausdauer-Bonus auf Handwerkserzeugnis 14		ein	die	Ausdauer-Boni auf Handwerkserzeugnis 14	Ausdauer-Boni auf Handwerkserzeugnis 14		die	Stanza (Teil einer Aktion) zum Einbau in eine Handwerksaktion; das hergestellte Objekt gibt dem Träger einen Bonus auf seine Maximal-Ausdauer-Punkte: 70
_22754E2169FF98FA	abcoc15	Ausdauer-Bonus auf Handwerkserzeugnis 15	Ausdauer-Bonus auf Handwerkserzeugnis 15		ein	die	Ausdauer-Boni auf Handwerkserzeugnis 15	Ausdauer-Boni auf Handwerkserzeugnis 15		die	Stanza (Teil einer Aktion) zum Einbau in eine Handwerksaktion; das hergestellte Objekt gibt dem Träger einen Bonus auf seine Maximal-Ausdauer-Punkte: 75
_22854E21690F98FA	abcoc16	Ausdauer-Bonus auf Handwerkserzeugnis 16	Ausdauer-Bonus auf Handwerkserzeugnis 16		ein	die	Ausdauer-Boni auf Handwerkserzeugnis 16	Ausdauer-Boni auf Handwerkserzeugnis 16		die	Stanza (Teil einer Aktion) zum Einbau in eine Handwerksaktion; das hergestellte Objekt gibt dem Träger einen Bonus auf seine Maximal-Ausdauer-Punkte: 80
_22954E21691F98FA	abcoc17	Ausdauer-Bonus auf Handwerkserzeugnis 17	Ausdauer-Bonus auf Handwerkserzeugnis 17		ein	die	Ausdauer-Boni auf Handwerkserzeugnis 17	Ausdauer-Boni auf Handwerkserzeugnis 17		die	Stanza (Teil einer Aktion) zum Einbau in eine Handwerksaktion; das hergestellte Objekt gibt dem Träger einen Bonus auf seine Maximal-Ausdauer-Punkte: 85
_22A54E21692F98FA	abcoc18	Ausdauer-Bonus auf Handwerkserzeugnis 18	Ausdauer-Bonus auf Handwerkserzeugnis 18		ein	die	Ausdauer-Boni auf Handwerkserzeugnis 18	Ausdauer-Boni auf Handwerkserzeugnis 18		die	Stanza (Teil einer Aktion) zum Einbau in eine Handwerksaktion; das hergestellte Objekt gibt dem Träger einen Bonus auf seine Maximal-Ausdauer-Punkte: 90
_22B54E21693F98FA	abcoc19	Ausdauer-Bonus auf Handwerkserzeugnis 19	Ausdauer-Bonus auf Handwerkserzeugnis 19		ein	die	Ausdauer-Boni auf Handwerkserzeugnis 19	Ausdauer-Boni auf Handwerkserzeugnis 19		die	Stanza (Teil einer Aktion) zum Einbau in eine Handwerksaktion; das hergestellte Objekt gibt dem Träger einen Bonus auf seine Maximal-Ausdauer-Punkte: 95
_2225522169AF9CFA	abcoc20	Ausdauer-Bonus auf Handwerkserzeugnis 20	Ausdauer-Bonus auf Handwerkserzeugnis 20		ein	die	Ausdauer-Boni auf Handwerkserzeugnis 20	Ausdauer-Boni auf Handwerkserzeugnis 20		die	Stanza (Teil einer Aktion) zum Einbau in eine Handwerksaktion; das hergestellte Objekt gibt dem Träger einen Bonus auf seine Maximal-Ausdauer-Punkte: 100
_2235522169BF9CFA	abcoc21	Ausdauer-Bonus auf Handwerkserzeugnis 21	Ausdauer-Bonus auf Handwerkserzeugnis 21		ein	die	Ausdauer-Boni auf Handwerkserzeugnis 21	Ausdauer-Boni auf Handwerkserzeugnis 21		die	Stanza (Teil einer Aktion) zum Einbau in eine Handwerksaktion; das hergestellte Objekt gibt dem Träger einen Bonus auf seine Maximal-Ausdauer-Punkte: 105
_2245522169CF9CFA	abcoc22	Ausdauer-Bonus auf Handwerkserzeugnis 22	Ausdauer-Bonus auf Handwerkserzeugnis 22		ein	die	Ausdauer-Boni auf Handwerkserzeugnis 22	Ausdauer-Boni auf Handwerkserzeugnis 22		die	Stanza (Teil einer Aktion) zum Einbau in eine Handwerksaktion; das hergestellte Objekt gibt dem Träger einen Bonus auf seine Maximal-Ausdauer-Punkte: 110
_2255522169DF9CFA	abcoc23	Ausdauer-Bonus auf Handwerkserzeugnis 23	Ausdauer-Bonus auf Handwerkserzeugnis 23		ein	die	Ausdauer-Boni auf Handwerkserzeugnis 23	Ausdauer-Boni auf Handwerkserzeugnis 23		die	Stanza (Teil einer Aktion) zum Einbau in eine Handwerksaktion; das hergestellte Objekt gibt dem Träger einen Bonus auf seine Maximal-Ausdauer-Punkte: 115
_2265522169EF9CFA	abcoc24	Ausdauer-Bonus auf Handwerkserzeugnis 24	Ausdauer-Bonus auf Handwerkserzeugnis 24		ein	die	Ausdauer-Boni auf Handwerkserzeugnis 24	Ausdauer-Boni auf Handwerkserzeugnis 24		die	Stanza (Teil einer Aktion) zum Einbau in eine Handwerksaktion; das hergestellte Objekt gibt dem Träger einen Bonus auf seine Maximal-Ausdauer-Punkte: 120
_2275522169FF9CFA	abcoc25	Ausdauer-Bonus auf Handwerkserzeugnis 25	Ausdauer-Bonus auf Handwerkserzeugnis 25		ein	die	Ausdauer-Boni auf Handwerkserzeugnis 25	Ausdauer-Boni auf Handwerkserzeugnis 25		die	Stanza (Teil einer Aktion) zum Einbau in eine Handwerksaktion; das hergestellte Objekt gibt dem Träger einen Bonus auf seine Maximal-Ausdauer-Punkte: 125
_CF0096B28ED6D10C	abcod01	Fokus-Bonus auf Handwerkserzeugnis 1	Fokus-Bonus auf Handwerkserzeugnis 1		ein	die	Fokus-Boni auf Handwerkserzeugnis 1	Fokus-Boni auf Handwerkserzeugnis 1		die	Stanza (Teil einer Aktion) zum Einbau in eine Handwerksaktion; das hergestellte Objekt gibt dem Träger einen Bonus auf seine Maximal-Fokus-Punkte: 5
_CF0096B2CEE6D10C	abcod02	Fokus-Bonus auf Handwerkserzeugnis 2	Fokus-Bonus auf Handwerkserzeugnis 2		ein	die	Fokus-Boni auf Handwerkserzeugnis 2	Fokus-Boni auf Handwerkserzeugnis 2		die	Stanza (Teil einer Aktion) zum Einbau in eine Handwerksaktion; das hergestellte Objekt gibt dem Träger einen Bonus auf seine Maximal-Fokus-Punkte: 10
_CF0096B20EF6D10C	abcod03	Fokus-Bonus auf Handwerkserzeugnis 3	Fokus-Bonus auf Handwerkserzeugnis 3		ein	die	Fokus-Boni auf Handwerkserzeugnis 3	Fokus-Boni auf Handwerkserzeugnis 3		die	Stanza (Teil einer Aktion) zum Einbau in eine Handwerksaktion; das hergestellte Objekt gibt dem Träger einen Bonus auf seine Maximal-Fokus-Punkte: 15
_CF0096B24F06D10C	abcod04	Fokus-Bonus auf Handwerkserzeugnis 4	Fokus-Bonus auf Handwerkserzeugnis 4		ein	die	Fokus-Boni auf Handwerkserzeugnis 4	Fokus-Boni auf Handwerkserzeugnis 4		die	Stanza (Teil einer Aktion) zum Einbau in eine Handwerksaktion; das hergestellte Objekt gibt dem Träger einen Bonus auf seine Maximal-Fokus-Punkte: 20
_CF0096B28F16D10C	abcod05	Fokus-Bonus auf Handwerkserzeugnis 5	Fokus-Bonus auf Handwerkserzeugnis 5		ein	die	Fokus-Boni auf Handwerkserzeugnis 5	Fokus-Boni auf Handwerkserzeugnis 5		die	Stanza (Teil einer Aktion) zum Einbau in eine Handwerksaktion; das hergestellte Objekt gibt dem Träger einen Bonus auf seine Maximal-Fokus-Punkte: 25
_CF0096B2CF26D10C	abcod06	Fokus-Bonus auf Handwerkserzeugnis 6	Fokus-Bonus auf Handwerkserzeugnis 6		ein	die	Fokus-Boni auf Handwerkserzeugnis 6	Fokus-Boni auf Handwerkserzeugnis 6		die	Stanza (Teil einer Aktion) zum Einbau in eine Handwerksaktion; das hergestellte Objekt gibt dem Träger einen Bonus auf seine Maximal-Fokus-Punkte: 30
_CF0096B20F36D10C	abcod07	Fokus-Bonus auf Handwerkserzeugnis 7	Fokus-Bonus auf Handwerkserzeugnis 7		ein	die	Fokus-Boni auf Handwerkserzeugnis 7	Fokus-Boni auf Handwerkserzeugnis 7		die	Stanza (Teil einer Aktion) zum Einbau in eine Handwerksaktion; das hergestellte Objekt gibt dem Träger einen Bonus auf seine Maximal-Fokus-Punkte: 35
_CF0096B25046D10C	abcod08	Fokus-Bonus auf Handwerkserzeugnis 8	Fokus-Bonus auf Handwerkserzeugnis 8		ein	die	Fokus-Boni auf Handwerkserzeugnis 8	Fokus-Boni auf Handwerkserzeugnis 8		die	Stanza (Teil einer Aktion) zum Einbau in eine Handwerksaktion; das hergestellte Objekt gibt dem Träger einen Bonus auf seine Maximal-Fokus-Punkte: 40
_CF0096B29056D10C	abcod09	Fokus-Bonus auf Handwerkserzeugnis 9	Fokus-Bonus auf Handwerkserzeugnis 9		ein	die	Fokus-Boni auf Handwerkserzeugnis 9	Fokus-Boni auf Handwerkserzeugnis 9		die	Stanza (Teil einer Aktion) zum Einbau in eine Handwerksaktion; das hergestellte Objekt gibt dem Träger einen Bonus auf seine Maximal-Fokus-Punkte: 45
_6BD7B3CB76FB5974	abcod10	Fokus-Bonus auf Handwerkserzeugnis 10	Fokus-Bonus auf Handwerkserzeugnis 10		ein	die	Fokus-Boni auf Handwerkserzeugnis 10	Fokus-Boni auf Handwerkserzeugnis 10		die	Stanza (Teil einer Aktion) zum Einbau in eine Handwerksaktion; das hergestellte Objekt gibt dem Träger einen Bonus auf seine Maximal-Fokus-Punkte: 50
_6BD7B3CC760B5974	abcod11	Fokus-Bonus auf Handwerkserzeugnis 11	Fokus-Bonus auf Handwerkserzeugnis 11		ein	die	Fokus-Boni auf Handwerkserzeugnis 11	Fokus-Boni auf Handwerkserzeugnis 11		die	Stanza (Teil einer Aktion) zum Einbau in eine Handwerksaktion; das hergestellte Objekt gibt dem Träger einen Bonus auf seine Maximal-Fokus-Punkte: 55
_6BD7B3CD761B5974	abcod12	Fokus-Bonus auf Handwerkserzeugnis 12	Fokus-Bonus auf Handwerkserzeugnis 12		ein	die	Fokus-Boni auf Handwerkserzeugnis 12	Fokus-Boni auf Handwerkserzeugnis 12		die	Stanza (Teil einer Aktion) zum Einbau in eine Handwerksaktion; das hergestellte Objekt gibt dem Träger einen Bonus auf seine Maximal-Fokus-Punkte: 60
_6BD7B3CE762B5974	abcod13	Fokus-Bonus auf Handwerkserzeugnis 13	Fokus-Bonus auf Handwerkserzeugnis 13		ein	die	Fokus-Boni auf Handwerkserzeugnis 13	Fokus-Boni auf Handwerkserzeugnis 13		die	Stanza (Teil einer Aktion) zum Einbau in eine Handwerksaktion; das hergestellte Objekt gibt dem Träger einen Bonus auf seine Maximal-Fokus-Punkte: 65
_6BD7B3CF763B5974	abcod14	Fokus-Bonus auf Handwerkserzeugnis 14	Fokus-Bonus auf Handwerkserzeugnis 14		ein	die	Fokus-Boni auf Handwerkserzeugnis 14	Fokus-Boni auf Handwerkserzeugnis 14		die	Stanza (Teil einer Aktion) zum Einbau in eine Handwerksaktion; das hergestellte Objekt gibt dem Träger einen Bonus auf seine Maximal-Fokus-Punkte: 70
_6BD7B3D0764B5974	abcod15	Fokus-Bonus auf Handwerkserzeugnis 15	Fokus-Bonus auf Handwerkserzeugnis 15		ein	die	Fokus-Boni auf Handwerkserzeugnis 15	Fokus-Boni auf Handwerkserzeugnis 15		die	Stanza (Teil einer Aktion) zum Einbau in eine Handwerksaktion; das hergestellte Objekt gibt dem Träger einen Bonus auf seine Maximal-Fokus-Punkte: 75
_6BD7B3D1765B5974	abcod16	Fokus-Bonus auf Handwerkserzeugnis 16	Fokus-Bonus auf Handwerkserzeugnis 16		ein	die	Fokus-Boni auf Handwerkserzeugnis 16	Fokus-Boni auf Handwerkserzeugnis 16		die	Stanza (Teil einer Aktion) zum Einbau in eine Handwerksaktion; das hergestellte Objekt gibt dem Träger einen Bonus auf seine Maximal-Fokus-Punkte: 80
_6BD7B3D2766B5974	abcod17	Fokus-Bonus auf Handwerkserzeugnis 17	Fokus-Bonus auf Handwerkserzeugnis 17		ein	die	Fokus-Boni auf Handwerkserzeugnis 17	Fokus-Boni auf Handwerkserzeugnis 17		die	Stanza (Teil einer Aktion) zum Einbau in eine Handwerksaktion; das hergestellte Objekt gibt dem Träger einen Bonus auf seine Maximal-Fokus-Punkte: 85
_6BD7B3D3767B5974	abcod18	Fokus-Bonus auf Handwerkserzeugnis 18	Fokus-Bonus auf Handwerkserzeugnis 18		ein	die	Fokus-Boni auf Handwerkserzeugnis 18	Fokus-Boni auf Handwerkserzeugnis 18		die	Stanza (Teil einer Aktion) zum Einbau in eine Handwerksaktion; das hergestellte Objekt gibt dem Träger einen Bonus auf seine Maximal-Fokus-Punkte: 90
_6BD7B3D4768B5974	abcod19	Fokus-Bonus auf Handwerkserzeugnis 19	Fokus-Bonus auf Handwerkserzeugnis 19		ein	die	Fokus-Boni auf Handwerkserzeugnis 19	Fokus-Boni auf Handwerkserzeugnis 19		die	Stanza (Teil einer Aktion) zum Einbau in eine Handwerksaktion; das hergestellte Objekt gibt dem Träger einen Bonus auf seine Maximal-Fokus-Punkte: 95
_6BD7B3CBB6FB5D74	abcod20	Fokus-Bonus auf Handwerkserzeugnis 20	Fokus-Bonus auf Handwerkserzeugnis 20		ein	die	Fokus-Boni auf Handwerkserzeugnis 20	Fokus-Boni auf Handwerkserzeugnis 20		die	Stanza (Teil einer Aktion) zum Einbau in eine Handwerksaktion; das hergestellte Objekt gibt dem Träger einen Bonus auf seine Maximal-Fokus-Punkte: 100
_6BD7B3CCB60B5D74	abcod21	Fokus-Bonus auf Handwerkserzeugnis 21	Fokus-Bonus auf Handwerkserzeugnis 21		ein	die	Fokus-Boni auf Handwerkserzeugnis 21	Fokus-Boni auf Handwerkserzeugnis 21		die	Stanza (Teil einer Aktion) zum Einbau in eine Handwerksaktion; das hergestellte Objekt gibt dem Träger einen Bonus auf seine Maximal-Fokus-Punkte: 105
_6BD7B3CDB61B5D74	abcod22	Fokus-Bonus auf Handwerkserzeugnis 22	Fokus-Bonus auf Handwerkserzeugnis 22		ein	die	Fokus-Boni auf Handwerkserzeugnis 22	Fokus-Boni auf Handwerkserzeugnis 22		die	Stanza (Teil einer Aktion) zum Einbau in eine Handwerksaktion; das hergestellte Objekt gibt dem Träger einen Bonus auf seine Maximal-Fokus-Punkte: 110
_6BD7B3CEB62B5D74	abcod23	Fokus-Bonus auf Handwerkserzeugnis 23	Fokus-Bonus auf Handwerkserzeugnis 23		ein	die	Fokus-Boni auf Handwerkserzeugnis 23	Fokus-Boni auf Handwerkserzeugnis 23		die	Stanza (Teil einer Aktion) zum Einbau in eine Handwerksaktion; das hergestellte Objekt gibt dem Träger einen Bonus auf seine Maximal-Fokus-Punkte: 115
_6BD7B3CFB63B5D74	abcod24	Fokus-Bonus auf Handwerkserzeugnis 24	Fokus-Bonus auf Handwerkserzeugnis 24		ein	die	Fokus-Boni auf Handwerkserzeugnis 24	Fokus-Boni auf Handwerkserzeugnis 24		die	Stanza (Teil einer Aktion) zum Einbau in eine Handwerksaktion; das hergestellte Objekt gibt dem Träger einen Bonus auf seine Maximal-Fokus-Punkte: 120
_6BD7B3D0B64B5D74	abcod25	Fokus-Bonus auf Handwerkserzeugnis 25	Fokus-Bonus auf Handwerkserzeugnis 25		ein	die	Fokus-Boni auf Handwerkserzeugnis 25	Fokus-Boni auf Handwerkserzeugnis 25		die	Stanza (Teil einer Aktion) zum Einbau in eine Handwerksaktion; das hergestellte Objekt gibt dem Träger einen Bonus auf seine Maximal-Fokus-Punkte: 125
_C5FDA7B619B9707A	abffaca01	Fyros-Handwerksbasis	Fyros-Handwerksbasis		eine	die	Fyros Handwerksbasen	Fyros Handwerksbasen		die	Aktion für den Beginn von Fyros-Handwerk
_02ECC3B619B95876	abfmaca01	Matis-Handwerksbasis	Matis-Handwerksbasis		eine	die	Matis Handwerksbasen	Matis Handwerksbasen		die	Aktion für den Beginn von Matis-Handwerk
_48BFFF29DB13B408	abftaca01	Tryker-Handwerksbasis	Tryker-Handwerksbasis		eine	die	Tryker Handwerksbasen	Tryker Handwerksbasen		die	Aktion für den Beginn von Tryker-Handwerk
_479DF7B619802A6C	abfzaca01	Zoraï-Handwerksbasis	Zoraï-Handwerksbasis		eine	die	Zoraï Handwerksbasen	Zoraï Handwerksbasen		die	Aktion für den Beginn von Zoraï-Handwerk
_C56DA7B619B9707A	abmfaca01	Fyros-Handwerksbasis	Fyros-Handwerksbasis		eine	die	Fyros Handwerksbasen	Fyros Handwerksbasen		die	Aktion für den Beginn von Fyros-Handwerk
_025CC3B619B95876	abmmaca01	Matis-Handwerksbasis	Matis-Handwerksbasis		eine	die	Matis Handwerksbasen	Matis Handwerksbasen		die	Aktion für den Beginn von Matis-Handwerk
_482FFF29DB13B408	abmtaca01	Tryker-Handwerksbasis	Tryker-Handwerksbasis		eine	die	Tryker Handwerksbasen	Tryker Handwerksbasen		die	Aktion für den Beginn von Tryker-Handwerk
_470DF7B619802A6C	abmzaca01	Zoraï-Handwerksbasis	Zoraï-Handwerksbasis		eine	die	Zoraï Handwerksbasen	Zoraï Handwerksbasen		die	Aktion für den Beginn von Zoraï-Handwerk
_FC0DE2CFEBD2F020	abhffaca01	Fyros-Handwerksbasis	Fyros-Handwerksbasis		eine	die	Fyros Handwerksbasen	Fyros Handwerksbasen		die	Aktion für den Beginn von Fyros-Handwerk
_B87DE2CFEB72E011	abhfmaca01	Matis-Handwerksbasis	Matis-Handwerksbasis		eine	die	Matis Handwerksbasen	Matis Handwerksbasen		die	Aktion für den Beginn von Matis-Handwerk
_006EAFD655E4272A	abhftaca01	Tryker-Handwerksbasis	Tryker-Handwerksbasis		eine	die	Tryker Handwerksbasen	Tryker Handwerksbasen		die	Aktion für den Beginn von Tryker-Handwerk
_7E4EE2CF0AB9B82A	abhfzaca01	Zoraï-Handwerksbasis	Zoraï-Handwerksbasis		eine	die	Zoraï Handwerksbasen	Zoraï Handwerksbasen		die	Aktion für den Beginn von Zoraï-Handwerk
_D3C8A31D3AF428F9	abm_credit_casting_time_00020	Zauberzeit-Ausgleich 9	Zauberzeit-Ausgleich 9		ein	der	Zauberzeit-Ausgleiche 9	Zauberzeit-Ausgleiche 9		die	Magie-Ausgleichs-Stanza (Teil einer Aktion), welche als Einsatz die Zauberzeit eines Zaubers erhöht
_8C3F02E25CD4A0AF	abm_credit_casting_time_00025	Zauberzeit-Ausgleich 10	Zauberzeit-Ausgleich 10		ein	der	Zauberzeit-Ausgleiche 10	Zauberzeit-Ausgleiche 10		die	Magie-Ausgleichs-Stanza (Teil einer Aktion), welche als Einsatz die Zauberzeit eines Zaubers erhöht
_CC4F02E25CD4A0AA	abm_credit_casting_time_00030	Zauberzeit-Ausgleich 11	Zauberzeit-Ausgleich 11		ein	der	Zauberzeit-Ausgleiche 11	Zauberzeit-Ausgleiche 11		die	Magie-Ausgleichs-Stanza (Teil einer Aktion), welche als Einsatz die Zauberzeit eines Zaubers erhöht
_0D5F02E25CD4A0AA	abm_credit_casting_time_00040	Zauberzeit-Ausgleich 12	Zauberzeit-Ausgleich 12		ein	der	Zauberzeit-Ausgleiche 12	Zauberzeit-Ausgleiche 12		die	Magie-Ausgleichs-Stanza (Teil einer Aktion), welche als Einsatz die Zauberzeit eines Zaubers erhöht
_ABD0148736F81E6F	abm_credit_hp_00020	Lebens-Ausgleich 9	Lebens-Ausgleich 9		ein	der	Lebens-Ausgleiche 9	Lebens-Ausgleiche 9		die	Magie-Ausgleichs-Stanza (Teil einer Aktion), welche als Einsatz Lebenskraft kostet
_1DBE0D492D6987F3	abm_credit_hp_00025	Lebens-Ausgleich 10	Lebens-Ausgleich 10		ein	der	Lebens-Ausgleiche 10	Lebens-Ausgleiche 10		die	Magie-Ausgleichs-Stanza (Teil einer Aktion), welche als Einsatz Lebenskraft kostet
_1D6E114A2D6987F3	abm_credit_hp_00030	Lebens-Ausgleich 11	Lebens-Ausgleich 11		ein	der	Lebens-Ausgleiche 11	Lebens-Ausgleiche 11		die	Magie-Ausgleichs-Stanza (Teil einer Aktion), welche als Einsatz Lebenskraft kostet
_1D6E154B2D6987F3	abm_credit_hp_00040	Lebens-Ausgleich 12	Lebens-Ausgleich 12		ein	der	Lebens-Ausgleiche 12	Lebens-Ausgleiche 12		die	Magie-Ausgleichs-Stanza (Teil einer Aktion), welche als Einsatz Lebenskraft kostet
_19B5165BBFEA4D8C	abm_credit_range_00020	Reichweiten-Ausgleich 9	Reichweiten-Ausgleich 9		ein	der	Reichweiten-Ausgleiche 9	Reichweiten-Ausgleiche 9		die	Magie-Ausgleichs-Stanza (Teil einer Aktion), welche als Einsatz die Reichweite eines Zaubers reduziert
_2ACFE05601337F08	abm_credit_range_00025	Reichweiten-Ausgleich 10	Reichweiten-Ausgleich 10		ein	der	Reichweiten-Ausgleiche 10	Reichweiten-Ausgleiche 10		die	Magie-Ausgleichs-Stanza (Teil einer Aktion), welche als Einsatz die Reichweite eines Zaubers reduziert
_2ACFE05601336B0A	abm_credit_range_00030	Reichweiten-Ausgleich 11	Reichweiten-Ausgleich 11		ein	der	Reichweiten-Ausgleiche 11	Reichweiten-Ausgleiche 11		die	Magie-Ausgleichs-Stanza (Teil einer Aktion), welche als Einsatz die Reichweite eines Zaubers reduziert
_2ACFE05601336B0C	abm_credit_range_00040	Reichweiten-Ausgleich 12	Reichweiten-Ausgleich 12		ein	der	Reichweiten-Ausgleiche 12	Reichweiten-Ausgleiche 12		die	Magie-Ausgleichs-Stanza (Teil einer Aktion), welche als Einsatz die Reichweite eines Zaubers reduziert
_37F87073384AAA2B	abm_credit_sap_00020	Credit Sap 9	Sap-Ausgleich 9		ein	der	Sap-Ausgleiche 9	Sap-Ausgleiche 9		die	Magie-Ausgleichs-Stanza (Teil einer Aktion), welche als Einsatz Sap verbraucht
_FA18324B2D0B2700	abm_credit_sap_00025	Credit Sap 10	Sap-Ausgleich 10		ein	der	Sap-Ausgleiche 10	Sap-Ausgleiche 10		die	Magie-Ausgleichs-Stanza (Teil einer Aktion), welche als Einsatz Sap verbraucht
_B928324C2D0B2700	abm_credit_sap_00030	Credit Sap 11	Sap-Ausgleich 11		ein	der	Sap-Ausgleiche 11	Sap-Ausgleiche 11		die	Magie-Ausgleichs-Stanza (Teil einer Aktion), welche als Einsatz Sap verbraucht
_B938324D2D0B2700	abm_credit_sap_00040	Credit Sap 12	Sap-Ausgleich 12		ein	der	Sap-Ausgleiche 12	Sap-Ausgleiche 12		die	Magie-Ausgleichs-Stanza (Teil einer Aktion), welche als Einsatz Sap verbraucht
_FE94F73FF32C82F8	abccaea01	Handwerksplan normale schwere Stiefel	Handwerksplan normale schwere Stiefel		ein	der	Handwerkspläne normale schwere Stiefel	Handwerkspläne normale schwere Stiefel		die	Handwerksplan für normale schwere Stiefel
_D455C921B9824B0F	abccaea02	Handwerksplan normale schwere Handschuhe	Handwerksplan normale schwere Handschuhe		ein	der	Handwerkspläne normale schwere Handschuhe	Handwerkspläne normale schwere Handschuhe		die	Handwerksplan für normale schwere Handschuhe
_D4D4BD123A124F10	abccaea03	Handwerksplan normaler schwerer Helm	Handwerksplan normaler schwerer Helm		ein	der	Handwerkspläne normaler schwerer Helm	Handwerkspläne normaler schwerer Helm		die	Handwerksplan für normalen schwerer Helm
_FE94F334771C4A06	abccaea04	Handwerksplan normale schwere Hose	Handwerksplan normale schwere Hose		ein	der	Handwerkspläne normale schwere Hose	Handwerkspläne normale schwere Hose		die	Handwerksplan für normale schwere Hose
_1767252E0B9A93D9	abccaea05	Handwerksplan normale schwere Armschützer	Handwerksplan normale schwere Armschützer		ein	der	Handwerkspläne normale schwere Armschützer	Handwerkspläne normale schwere Armschützer		die	Handwerksplan für normale schwere Armschützer
_3D3DAC78A2CDB081	abccaea06	Handwerksplan normale schwere Weste	Handwerksplan normale schwere Weste		ein	der	Handwerkspläne normale schwere Weste	Handwerkspläne normale schwere Weste		die	Handwerksplan für normale schwere Weste
_7F84CF4BF46C6EEA	abccaea07	Handwerksplan normale leichte Stiefel	Handwerksplan normale leichte Stiefel		ein	der	Handwerkspläne normale leichte Stiefel	Handwerkspläne normale leichte Stiefel		die	Handwerksplan für normale leichte Stiefel
_14B4F12BBA823701	abccaea08	Handwerksplan normale leichte Handschuhe	Handwerksplan normale leichte Handschuhe		ein	der	Handwerkspläne normale leichte Handschuhe	Handwerkspläne normale leichte Handschuhe		die	Handwerksplan für normale leichte Handschuhe
_7F84CB3F785C36F8	abccaea09	Handwerksplan normale leichte Hose	Handwerksplan normale leichte Hose		ein	der	Handwerkspläne normale leichte Hose	Handwerkspläne normale leichte Hose		die	Handwerksplan für normale leichte Hose
_1507452D4B9A7FC6	abccaea10	Handwerksplan normale leichte Armschützer	Handwerksplan normale leichte Armschützer		ein	der	Handwerkspläne normale leichte Armschützer	Handwerkspläne normale leichte Armschützer		die	Handwerksplan für normale leichte Armschützer
_BE7DA865630DAC73	abccaea11	Handwerksplan normale leichte Weste	Handwerksplan normale leichte Weste		ein	der	Handwerkspläne normale leichte Weste	Handwerkspläne normale leichte Weste		die	Handwerksplan für normale leichte Weste
_581325F071B61E4F	abccaea12	Handwerksplan normale mittelschwere Stiefel	Handwerksplan normale mittelschwere Stiefel		ein	der	Handwerkspläne normale mittelschwere Stiefel	Handwerkspläne normale mittelschwere Stiefel		die	Handwerksplan für normale mittelschwere Stiefel
_95377D133D39B8C8	abccaea13	Handwerksplan normale mittelschwere Handschuhe	Handwerksplan normale mittelschwere Handschuhe		ein	der	Handwerkspläne normale mittelschwere Handschuhe	Handwerkspläne normale mittelschwere Handschuhe		die	Handwerksplan für normale mittelschwere Handschuhe
_5803EDFFEE971E4F	abccaea14	Handwerksplan normale mittelschwere Hose	Handwerksplan normale mittelschwere Hose		ein	der	Handwerkspläne normale mittelschwere Hose	Handwerkspläne normale mittelschwere Hose		die	Handwerksplan für normale mittelschwere Hose
