# Ryzom chat emoji table -- GENERATED, do not edit by hand.
# Regenerate with tools/emoji/gen_emoji_table.py
# Put local corrections in emoji_overrides.txt instead; it is
# loaded afterwards and wins.
# name\tcodepoints(hex)\timage-stem (client appends .tga)
+1	1f44d	emoji_u1f44d
flag_switzerland	1f1e8 1f1ed	emoji_u1f1e8_1f1ed
flag_syria	1f1f8 1f1fe	emoji_u1f1f8_1f1fe
flag_são_tomé_and_príncipe	1f1f8 1f1f9	emoji_u1f1f8_1f1f9
flag_taiwan	1f1f9 1f1fc	emoji_u1f1f9_1f1fc
flag_tajikistan	1f1f9 1f1ef	emoji_u1f1f9_1f1ef
flag_tanzania	1f1f9 1f1ff	emoji_u1f1f9_1f1ff
flag_thailand	1f1f9 1f1ed	emoji_u1f1f9_1f1ed
flag_timor_leste	1f1f9 1f1f1	emoji_u1f1f9_1f1f1
flag_togo	1f1f9 1f1ec	emoji_u1f1f9_1f1ec
flag_tokelau	1f1f9 1f1f0	emoji_u1f1f9_1f1f0
flag_tonga	1f1f9 1f1f4	emoji_u1f1f9_1f1f4
flag_trinidad_and_tobago	1f1f9 1f1f9	emoji_u1f1f9_1f1f9
flag_tristan_da_cunha	1f1f9 1f1e6	emoji_u1f1f9_1f1e6
flag_tunisia	1f1f9 1f1f3	emoji_u1f1f9_1f1f3
flag_turkiye	1f1f9 1f1f7	emoji_u1f1f9_1f1f7
flag_turkmenistan	1f1f9 1f1f2	emoji_u1f1f9_1f1f2
flag_turks_and_caicos_islands	1f1f9 1f1e8	emoji_u1f1f9_1f1e8
flag_tuvalu	1f1f9 1f1fb	emoji_u1f1f9_1f1fb
flag_türkiye	1f1f9 1f1f7	emoji_u1f1f9_1f1f7
flag_uganda	1f1fa 1f1ec	emoji_u1f1fa_1f1ec
flag_ukraine	1f1fa 1f1e6	emoji_u1f1fa_1f1e6
flag_united_arab_emirates	1f1e6 1f1ea	emoji_u1f1e6_1f1ea
flag_united_kingdom	1f1ec 1f1e7	emoji_u1f1ec_1f1e7
flag_united_nations	1f1fa 1f1f3	emoji_u1f1fa_1f1f3
flag_united_states	1f1fa 1f1f8	emoji_u1f1fa_1f1f8
flag_uruguay	1f1fa 1f1fe	emoji_u1f1fa_1f1fe
flag_us_outlying_islands	1f1fa 1f1f2	emoji_u1f1fa_1f1f2
flag_us_virgin_islands	1f1fb 1f1ee	emoji_u1f1fb_1f1ee
flag_uzbekistan	1f1fa 1f1ff	emoji_u1f1fa_1f1ff
flag_vanuatu	1f1fb 1f1fa	emoji_u1f1fb_1f1fa
flag_vatican_city	1f1fb 1f1e6	emoji_u1f1fb_1f1e6
flag_venezuela	1f1fb 1f1ea	emoji_u1f1fb_1f1ea
flag_vietnam	1f1fb 1f1f3	emoji_u1f1fb_1f1f3
flag_wales	1f3f4 e0067 e0062 e0077 e006c e0073 e007f	emoji_u1f3f4_e0067_e0062_e0077_e006c_e0073_e007f
flag_wallis_and_futuna	1f1fc 1f1eb	emoji_u1f1fc_1f1eb
flag_western_sahara	1f1ea 1f1ed	emoji_u1f1ea_1f1ed
flag_yemen	1f1fe 1f1ea	emoji_u1f1fe_1f1ea
flag_zambia	1f1ff 1f1f2	emoji_u1f1ff_1f1f2
flag_zimbabwe	1f1ff 1f1fc	emoji_u1f1ff_1f1fc
flag_åland_islands	1f1e6 1f1fd	emoji_u1f1e6_1f1fd
flags	1f38f	emoji_u1f38f
flamboyant	1f9a9	emoji_u1f9a9
flame	1f525	emoji_u1f525
flamingo	1f9a9	emoji_u1f9a9
flan	1f36e	emoji_u1f36e
flashlight	1f526	emoji_u1f526
flat	1f97f	emoji_u1f97f
flat_shoe	1f97f	emoji_u1f97f
flatbed	1f6fb	emoji_u1f6fb
flatbread	1fad3	emoji_u1fad3
flathead	1fa9b	emoji_u1fa9b
flats	1f97f	emoji_u1f97f
flautist	1fa88	emoji_u1fa88
flavor	1f9c2	emoji_u1f9c2
fleur_de_lis	269c	emoji_u269c
flight	1fab6	emoji_u1fab6
flip_flops	1f461	emoji_u1f461
flipper	1f42c	emoji_u1f42c
flirting	1fae6	emoji_u1fae6
float	1f6df	emoji_u1f6df
floating	1fae7	emoji_u1fae7
flock	1fabf	emoji_u1fabf
flop	1fa74	emoji_u1fa74
floppy_disk	1f4be	emoji_u1f4be
flower	1f337	emoji_u1f337
flu	1f912	emoji_u1f912
fluctuate	1fa80	emoji_u1fa80
flushed	1f633	emoji_u1f633
flute	1fa88	emoji_u1fa88
flutter	1faad	emoji_u1faad
fly	1fab0	emoji_u1fab0
flying_disc	1f94f	emoji_u1f94f
flying_saucer	1f6f8	emoji_u1f6f8
fog	1f32b	emoji_u1f32b
foggy	1f301	emoji_u1f301
folded_hands	1f64f	emoji_u1f64f
folder	1f4c2	emoji_u1f4c2
folding	1faad	emoji_u1faad
folding_hand_fan	1faad	emoji_u1faad
fondue	1fad5	emoji_u1fad5
food	1f372	emoji_u1f372
foot	1f9b6	emoji_u1f9b6
football	26bd	emoji_u26bd
footprints	1f463	emoji_u1f463
force	1faa0	emoji_u1faa0
forensics	1fac6	emoji_u1fac6
forever	267e	emoji_u267e
fork_and_knife	1f374	emoji_u1f374
fork_and_knife_with_plate	1f37d	emoji_u1f37d
fortune_cookie	1f960	emoji_u1f960
fortune_telling	1f52e	emoji_u1f52e
forward	21aa	emoji_u21aa
fountain	26f2	emoji_u26f2
fountain_pen	1f58b	emoji_u1f58b
four	0034 20e3	emoji_u0034_20e3
four_leaf_clover	1f340	emoji_u1f340
fowl	1fabf	emoji_u1fabf
fox	1f98a	emoji_u1f98a
frame	1fa9f	emoji_u1fa9f
framed_picture	1f5bc	emoji_u1f5bc
free	1f193	emoji_u1f193
freedom	26d3 200d 1f4a5	emoji_u26d3_200d_1f4a5
freezing	1f976	emoji_u1f976
fresh	1fa9f	emoji_u1fa9f
friends	1f9d1 200d 1f91d 200d 1f9d1	emoji_u1f9d1_200d_1f91d_200d_1f9d1
friendship	1fac2	emoji_u1fac2
fries	1f35f	emoji_u1f35f
frog	1f438	emoji_u1f438
frostbite	1f976	emoji_u1f976
frosty	26c4	emoji_u26c4
frown	1f641	emoji_u1f641
frowning	1f626	emoji_u1f626
frustration	1fae4	emoji_u1fae4
fuel_pump	26fd	emoji_u26fd
full_battery	1f50b	emoji_u1f50b
full_moon	1f315	emoji_u1f315
funeral_urn	26b1	emoji_u26b1
fungi	1f344 200d 1f7eb	emoji_u1f344_200d_1f7eb
fungus	1f344 200d 1f7eb	emoji_u1f344_200d_1f7eb
furniture	1f6cb	emoji_u1f6cb
future	1f52e	emoji_u1f52e
gaggle	1fabf	emoji_u1fabf
gander	1fabf	emoji_u1fabf
garlic	1f9c4	emoji_u1f9c4
garnish	1f34b 200d 1f7e9	emoji_u1f34b_200d_1f7e9
gas_pump	26fd	emoji_u26fd
gay	1f3f3 200d 1f308	emoji_u1f3f3_200d_1f308
gear	2699	emoji_u2699
gecko	1f98e	emoji_u1f98e
geek	1f913	emoji_u1f913
geese	1fabf	emoji_u1fabf
gelato	1f368	emoji_u1f368
gem	1f48e	emoji_u1f48e
gemini	264a	emoji_u264a
genderqueer	1f3f3 200d 1f308	emoji_u1f3f3_200d_1f308
gene	1f9ec	emoji_u1f9ec
genetics	1f9ec	emoji_u1f9ec
genie	1f9de	emoji_u1f9de
ghost	1f47b	emoji_u1f47b
gibbous	1f316	emoji_u1f316
gift	1f381	emoji_u1f381
gift_heart	1f49d	emoji_u1f49d
giggle	1f92d	emoji_u1f92d
giggling	1f92d	emoji_u1f92d
ginger	1fada	emoji_u1fada
ginger_root	1fada	emoji_u1fada
giraffe	1f992	emoji_u1f992
girl	1f467	emoji_u1f467
glad	1f972	emoji_u1f972
glamour	2728	emoji_u2728
glass_of_milk	1f95b	emoji_u1f95b
glasses	1f453	emoji_u1f453
glbt	1f3f3 200d 1f308	emoji_u1f3f3_200d_1f308
glbtq	1f3f3 200d 1f308	emoji_u1f3f3_200d_1f308
glitter	1faa9	emoji_u1faa9
globe	1f310	emoji_u1f310
glory	1f426 200d 1f525	emoji_u1f426_200d_1f525
glove	1f94e	emoji_u1f94e
gloves	1f9e4	emoji_u1f9e4
glowing_star	1f31f	emoji_u1f31f
go	1f3c1	emoji_u1f3c1
goal	1f945	emoji_u1f945
goat	1f410	emoji_u1f410
goblin	1f47a	emoji_u1f47a
goggles	1f97d	emoji_u1f97d
gold	1f947	emoji_u1f947
gold_record	1f4bd	emoji_u1f4bd
golf	1f3cc	emoji_u1f3cc
gondola	1f6a0	emoji_u1f6a0
goodbye	1fac2	emoji_u1fac2
goodnight	1f31b	emoji_u1f31b
goofy	1f92a	emoji_u1f92a
gooooooooal	1f945	emoji_u1f945
goose	1fabf	emoji_u1fabf
gordita	1fad3	emoji_u1fad3
gorilla	1f98d	emoji_u1f98d
got_it	1f44c	emoji_u1f44c
graduate	1f393	emoji_u1f393
grandchild	1f9d2	emoji_u1f9d2
grandparent	1f9d3	emoji_u1f9d3
grapes	1f347	emoji_u1f347
grasshopper	1f997	emoji_u1f997
gratitude	1f979	emoji_u1f979
grave	26b0	emoji_u26b0
graveyard	1faa6	emoji_u1faa6
gray	1fa76	emoji_u1fa76
green_apple	1f34f	emoji_u1f34f
green_book	1f4d7	emoji_u1f4d7
green_circle	1f7e2	emoji_u1f7e2
green_heart	1f49a	emoji_u1f49a
green_large_square	1f7e9	emoji_u1f7e9
grey	1fa76	emoji_u1fa76
grey_exclamation	2755	emoji_u2755
grey_heart	1fa76	emoji_u1fa76
grey_question	2754	emoji_u2754
grimacing	1f62c	emoji_u1f62c
grinning	1f600	emoji_u1f600
grinning_face_with_smiling_eyes	1f601	emoji_u1f601
groan	1f62e 200d 1f4a8	emoji_u1f62e_200d_1f4a8
gross	1f92e	emoji_u1f92e
grow	1fab4	emoji_u1fab4
growing	1f4c8	emoji_u1f4c8
growing_heart	1f497	emoji_u1f497
grumpy	1f621	emoji_u1f621
gua_pi_mao	1f472	emoji_u1f472
guanaco	1f999	emoji_u1f999
guard	1f482	emoji_u1f482
guestrooms	1f6cc	emoji_u1f6cc
guide_dog	1f9ae	emoji_u1f9ae
guitar	1f3b8	emoji_u1f3b8
gun	1f52b	emoji_u1f52b
gym	1f3cb	emoji_u1f3cb
gymnastics	1f938	emoji_u1f938
gyoza	1f95f	emoji_u1f95f
gyōza	1f95f	emoji_u1f95f
haha	1fae0	emoji_u1fae0
hair_pick	1faae	emoji_u1faae
haircut	1f487	emoji_u1f487
half_frown	1f615	emoji_u1f615
halo	1f607	emoji_u1f607
hamburger	1f354	emoji_u1f354
hammer	1f528	emoji_u1f528
hammer_and_pick	2692	emoji_u2692
hammer_and_wrench	1f6e0	emoji_u1f6e0
hamsa	1faac	emoji_u1faac
hamster	1f439	emoji_u1f439
hand	270b	emoji_u270b
hand_with_index_finger_and_thumb_crossed	1faf0	emoji_u1faf0
handbag	1f45c	emoji_u1f45c
handball	1f93e	emoji_u1f93e
handshake	1f91d	emoji_u1f91d
handy	1fa9b	emoji_u1fa9b
handyman	1f528	emoji_u1f528
handywoman	1f528	emoji_u1f528
hang_glide	1fa82	emoji_u1fa82
happy	1f600	emoji_u1f600
hard	1f9bb	emoji_u1f9bb
hard_hat	26d1	emoji_u26d1
harp	1fa89	emoji_u1fa89
harvest	1f33e	emoji_u1f33e
hash	0023 20e3	emoji_u0023_20e3
hashi	1f962	emoji_u1f962
hat	1f452	emoji_u1f452
hatchet	1fa93	emoji_u1fa93
hatching	1f423	emoji_u1f423
hatching_chick	1f423	emoji_u1f423
haunted	1f47b	emoji_u1f47b
hazard	2620	emoji_u2620
hazy	1f32b	emoji_u1f32b
head_bandage	1f915	emoji_u1f915
head_shaking_horizontally	1f642 200d 2194	emoji_u1f642_200d_2194
head_shaking_vertically	1f642 200d 2195	emoji_u1f642_200d_2195
heading_down	2935	emoji_u2935
heading_up	2934	emoji_u2934
headlines	1f4f0	emoji_u1f4f0
headphones	1f3a7	emoji_u1f3a7
headscarf	1f9d5	emoji_u1f9d5
headstone	1faa6	emoji_u1faa6
health_worker	1f9d1 200d 2695	emoji_u1f9d1_200d_2695
healthier	2764 200d 1fa79	emoji_u2764_200d_1fa79
hear_no_evil	1f649	emoji_u1f649
hearing	1f9bb	emoji_u1f9bb
heart	2764	emoji_u2764
heart_arrow	1f498	emoji_u1f498
heart_box	1f49f	emoji_u1f49f
heart_exclamation	2763	emoji_u2763
heart_eyes	1f60d	emoji_u1f60d
heart_eyes_cat	1f63b	emoji_u1f63b
heart_hands	1faf6	emoji_u1faf6
heart_kiss	1f618	emoji_u1f618
heart_of_gold	1f49b	emoji_u1f49b
heart_on_fire	2764 200d 1f525	emoji_u2764_200d_1f525
heart_pulse	1f497	emoji_u1f497
heartache	1f494	emoji_u1f494
heartbeat	1f493	emoji_u1f493
hearts	2665	emoji_u2665
heavenly	1fabd	emoji_u1fabd
heavy_equals_sign	1f7f0	emoji_u1f7f0
hedgehog	1f994	emoji_u1f994
helicopter	1f681	emoji_u1f681
hello	1f44b	emoji_u1f44b
helmet	26d1	emoji_u26d1
help	1fa7c	emoji_u1fa7c
helpless	1f623	emoji_u1f623
herb	1f33f	emoji_u1f33f
herd	1f9ac	emoji_u1f9ac
heroine	1f9b8 200d 2640	emoji_u1f9b8_200d_2640
hi	1f44b	emoji_u1f44b
hibiscus	1f33a	emoji_u1f33a
hiding	1fae3	emoji_u1fae3
high_brightness	1f506	emoji_u1f506
high_five	1f590	emoji_u1f590
high_heels	1f460	emoji_u1f460
high_speed_train	1f684	emoji_u1f684
high_voltage	26a1	emoji_u26a1
hijab	1f9d5	emoji_u1f9d5
hiking	1f97e	emoji_u1f97e
hiking_boot	1f97e	emoji_u1f97e
hindu	1f6d5	emoji_u1f6d5
hindu_temple	1f6d5	emoji_u1f6d5
hinduism	1f549	emoji_u1f549
hinny	1facf	emoji_u1facf
hint	1f5dd	emoji_u1f5dd
hippo	1f99b	emoji_u1f99b
hippopotamus	1f99b	emoji_u1f99b
hiss	1f40d	emoji_u1f40d
hmm	1f928	emoji_u1f928
hocho	1f52a	emoji_u1f52a
hoist	1f6d7	emoji_u1f6d7
holding	1f979	emoji_u1f979
hole	1f573	emoji_u1f573
hole_in_one	26f3	emoji_u26f3
holi	1fadf	emoji_u1fadf
holiday	1f9d1 200d 1f384	emoji_u1f9d1_200d_1f384
holiday_tree	1f384	emoji_u1f384
home_phone	1f4de	emoji_u1f4de
honey	1f36f	emoji_u1f36f
honeybee	1f41d	emoji_u1f41d
hongbao	1f9e7	emoji_u1f9e7
honk	1fabf	emoji_u1fabf
hook	1fa9d	emoji_u1fa9d
hooray	1f973	emoji_u1f973
horizontal_traffic_light	1f6a5	emoji_u1f6a5
horizontally	1f642 200d 2194	emoji_u1f642_200d_2194
horn	1f4ef	emoji_u1f4ef
horse	1f40e	emoji_u1f40e
horse_racing	1f3c7	emoji_u1f3c7
horse_riding	1f3c7	emoji_u1f3c7
horseshoe	1f9f2	emoji_u1f9f2
hospital	1f3e5	emoji_u1f3e5
hot	1f525	emoji_u1f525
hot_face	1f975	emoji_u1f975
hot_pepper	1f336	emoji_u1f336
hot_springs	2668	emoji_u2668
hotdog	1f32d	emoji_u1f32d
hotel	1f3e8	emoji_u1f3e8
hotspot	1f6dc	emoji_u1f6dc
hourglass	23f3	emoji_u23f3
hourglass_done	231b	emoji_u231b
house	1f3e0	emoji_u1f3e0
houses	1f3d8	emoji_u1f3d8
hover	1f574	emoji_u1f574
hug	1f917	emoji_u1f917
hugging	1fac2	emoji_u1fac2
huh	1f90c	emoji_u1f90c
human	1f471	emoji_u1f471
humpback_whale	1f40b	emoji_u1f40b
hundred	1f4af	emoji_u1f4af
hungry	1f37d	emoji_u1f37d
hurricane	1f300	emoji_u1f300
hurt	1f915	emoji_u1f915
hush	1f910	emoji_u1f910
hushed	1f62f	emoji_u1f62f
hut	1f6d6	emoji_u1f6d6
hyacinth	1fabb	emoji_u1fabb
hygiene	1faa5	emoji_u1faa5
hypnotized	1f635 200d 1f4ab	emoji_u1f635_200d_1f4ab
hóngbāo	1f9e7	emoji_u1f9e7
ice	1f9ca	emoji_u1f9ca
ice_cream	1f368	emoji_u1f368
ice_hockey	1f3d2	emoji_u1f3d2
ice_skate	26f8	emoji_u26f8
iceberg	1f9ca	emoji_u1f9ca
icicles	1f976	emoji_u1f976
id	1f194	emoji_u1f194
idea	1f4a1	emoji_u1f4a1
identification	1faaa	emoji_u1faaa
identification_card	1faaa	emoji_u1faaa
identity	1fac6	emoji_u1fac6
ideograph_advantage	1f250	emoji_u1f250
ill	1f912	emoji_u1f912
immigration	1f6c2	emoji_u1f6c2
immortal	1f426 200d 1f525	emoji_u1f426_200d_1f525
imp	1f47f	emoji_u1f47f
improving	2764 200d 1fa79	emoji_u2764_200d_1fa79
in_bed	1f6cc	emoji_u1f6cc
in_love	1f60d	emoji_u1f60d
inbox	1f4e5	emoji_u1f4e5
inbox_zero	1f4ed	emoji_u1f4ed
incognito	1f978	emoji_u1f978
incorrect	274c	emoji_u274c
increase	1f53c	emoji_u1f53c
increasing	1f4c8	emoji_u1f4c8
indecisive	1f9c7	emoji_u1f9c7
index_pointing_at_the_viewer	1faf5	emoji_u1faf5
indigo	1fabb	emoji_u1fabb
infinity	267e	emoji_u267e
info	2139	emoji_u2139
information_desk_person	1f481	emoji_u1f481
inhalation	1fac1	emoji_u1fac1
injection	1f489	emoji_u1f489
injured	1f915	emoji_u1f915
injury	1fa78	emoji_u1fa78
ink	1fadf	emoji_u1fadf
innocent	1f607	emoji_u1f607
intelligent	1f9e0	emoji_u1f9e0
interlocking	1f9e9	emoji_u1f9e9
internet	1f6dc	emoji_u1f6dc
interrobang	2049	emoji_u2049
interrogation	1f90c	emoji_u1f90c
intoxicated	1f974	emoji_u1f974
introvert	1fae5	emoji_u1fae5
invertebrate	1fabc	emoji_u1fabc
invincible	26d1	emoji_u26d1
invisible	1fae5	emoji_u1fae5
invoice	1f9fe	emoji_u1f9fe
iphone	1f4f1	emoji_u1f4f1
iron	1f9c7	emoji_u1f9c7
islam	262a	emoji_u262a
island	1f3dd	emoji_u1f3dd
izakaya_lantern	1f3ee	emoji_u1f3ee
jack-o-lantern	1f383	emoji_u1f383
japan	1f5fe	emoji_u1f5fe
japan_post	1f3e3	emoji_u1f3e3
japanese_acceptable_button	1f251	emoji_u1f251
japanese_application_button	1f238	emoji_u1f238
japanese_bargain_button	1f250	emoji_u1f250
japanese_congratulations_button	3297	emoji_u3297
japanese_discount_button	1f239	emoji_u1f239
japanese_free_of_charge_button	1f21a	emoji_u1f21a
japanese_here_button	1f201	emoji_u1f201
japanese_monthly_amount_button	1f237	emoji_u1f237
japanese_no_vacancy_button	1f235	emoji_u1f235
japanese_not_free_of_charge_button	1f236	emoji_u1f236
japanese_open_for_business_button	1f23a	emoji_u1f23a
japanese_passing_grade_button	1f234	emoji_u1f234
japanese_prohibited_button	1f232	emoji_u1f232
japanese_reserved_button	1f22f	emoji_u1f22f
japanese_secret_button	3299	emoji_u3299
japanese_service_charge_button	1f202	emoji_u1f202
japanese_vacancy_button	1f233	emoji_u1f233
jar	1fad9	emoji_u1fad9
jeans	1f456	emoji_u1f456
jeep	1f699	emoji_u1f699
jelly	1fabc	emoji_u1fabc
jellyfish	1fabc	emoji_u1fabc
jeotgarak	1f962	emoji_u1f962
jewish	2721	emoji_u2721
jiaozi	1f95f	emoji_u1f95f
jigsaw	1f9e9	emoji_u1f9e9
joey	1f998	emoji_u1f998
joker	1f0cf	emoji_u1f0cf
joking	1f61c	emoji_u1f61c
jolly	1f3f4 200d 2620	emoji_u1f3f4_200d_2620
joy	1f602	emoji_u1f602
joy_cat	1f639	emoji_u1f639
joystick	1f579	emoji_u1f579
judaism	2721	emoji_u2721
judge	1f9d1 200d 2696	emoji_u1f9d1_200d_2696
juggling	1f939	emoji_u1f939
jump	1f998	emoji_u1f998
justice	2696	emoji_u2696
kaaba	1f54b	emoji_u1f54b
kaching	1f911	emoji_u1f911
kale	1f96c	emoji_u1f96c
kangaroo	1f998	emoji_u1f998
kawaii	1f4a0	emoji_u1f4a0
keikogi	1f94b	emoji_u1f94b
kerchief	1f9d5	emoji_u1f9d5
key	1f511	emoji_u1f511
key_signing	1f50f	emoji_u1f50f
keyboard	2328	emoji_u2328
khalsa	1faaf	emoji_u1faaf
khanda	1faaf	emoji_u1faaf
kick_scooter	1f6f4	emoji_u1f6f4
kid	1f9d2	emoji_u1f9d2
kidney	1fad8	emoji_u1fad8
kimono	1f458	emoji_u1f458
king	1f451	emoji_u1f451
kiss	1f48f	emoji_u1f48f
kiss_man_man	1f468 200d 2764 200d 1f48b 200d 1f468	emoji_u1f468_200d_2764_200d_1f48b_200d_1f468
kiss_smiling_eyes	1f619	emoji_u1f619
kiss_with_blush	1f61a	emoji_u1f61a
kiss_woman_man	1f469 200d 2764 200d 1f48b 200d 1f468	emoji_u1f469_200d_2764_200d_1f48b_200d_1f468
kiss_woman_woman	1f469 200d 2764 200d 1f48b 200d 1f469	emoji_u1f469_200d_2764_200d_1f48b_200d_1f469
kissing_cat	1f63d	emoji_u1f63d
kissing_face	1f617	emoji_u1f617
kite	1fa81	emoji_u1fa81
kitten	1f431	emoji_u1f431
kiwi	1f95d	emoji_u1f95d
knee	1f9b5	emoji_u1f9b5
knife	1f52a	emoji_u1f52a
knit	1f9f6	emoji_u1f9f6
knot	1faa2	emoji_u1faa2
koala	1f428	emoji_u1f428
kuaizi	1f962	emoji_u1f962
lab_coat	1f97c	emoji_u1f97c
label	1f3f7	emoji_u1f3f7
lacrosse	1f94d	emoji_u1f94d
ladder	1fa9c	emoji_u1fa9c
lady_beetle	1f41e	emoji_u1f41e
ladybird	1f41e	emoji_u1f41e
ladybug	1f41e	emoji_u1f41e
lai	1f9e7	emoji_u1f9e7
lambchop	1f969	emoji_u1f969
landing	1f6ec	emoji_u1f6ec
landline	1f4de	emoji_u1f4de
lantern	1f3ee	emoji_u1f3ee
laptop	1f4bb	emoji_u1f4bb
large_blue_diamond	1f537	emoji_u1f537
large_orange_diamond	1f536	emoji_u1f536
last_quarter_moon	1f317	emoji_u1f317
last_quarter_moon_face	1f31c	emoji_u1f31c
late	1fae9	emoji_u1fae9
lather	1f9fc	emoji_u1f9fc
laughing	1f606	emoji_u1f606
laughter_tears	1f602	emoji_u1f602
laundry	1f9fa	emoji_u1f9fa
lavash	1fad3	emoji_u1fad3
lavender	1fabb	emoji_u1fabb
lazy	1f9a5	emoji_u1f9a5
leafless	1fabe	emoji_u1fabe
leafless_tree	1fabe	emoji_u1fabe
leafy	1f96c	emoji_u1f96c
leafy_green	1f96c	emoji_u1f96c
leaves	1f343	emoji_u1f343
ledger	1f4d2	emoji_u1f4d2
left	2b05	emoji_u2b05
left_fist	1f91b	emoji_u1f91b
left_hook	21a9	emoji_u21a9
left_right	2194	emoji_u2194
leftwards_hand	1faf2	emoji_u1faf2
leftwards_pushing_hand	1faf7	emoji_u1faf7
leg	1f9b5	emoji_u1f9b5
lemon	1f34b	emoji_u1f34b
leo	264c	emoji_u264c
leopard	1f406	emoji_u1f406
lesbian	1f3f3 200d 1f308	emoji_u1f3f3_200d_1f308
lets_eat	1f37d	emoji_u1f37d
lettuce	1f96c	emoji_u1f96c
level_slider	1f39a	emoji_u1f39a
levitating	1f574	emoji_u1f574
lgbt	1f3f3 200d 1f308	emoji_u1f3f3_200d_1f308
lgbtq	1f308	emoji_u1f308
lgbtqia	1f3f3 200d 1f308	emoji_u1f3f3_200d_1f308
libra	264e	emoji_u264e
license	1faaa	emoji_u1faaa
lifesaver	1f6df	emoji_u1f6df
lifestyles	1f6cb	emoji_u1f6cb
lift	1f3cb	emoji_u1f3cb
light_blue_heart	1fa75	emoji_u1fa75
light_bulb	1f4a1	emoji_u1f4a1
light_rail	1f688	emoji_u1f688
lightning	1f329	emoji_u1f329
lightning_storm	1f329	emoji_u1f329
like	1f44d	emoji_u1f44d
lilac	1fabb	emoji_u1fabb
limb	1f9b5	emoji_u1f9b5
lime	1f34b 200d 1f7e9	emoji_u1f34b_200d_1f7e9
line	1fae5	emoji_u1fae5
link	1f517	emoji_u1f517
linked	1f587	emoji_u1f587
lion	1f981	emoji_u1f981
lip	1fae6	emoji_u1fae6
lips	1f444	emoji_u1f444
lips_are_sealed	1f910	emoji_u1f910
lipstick	1f484	emoji_u1f484
lipstick_kiss	1f48b	emoji_u1f48b
lit	1f525	emoji_u1f525
little	1f90f	emoji_u1f90f
live_long_and_prosper	1f596	emoji_u1f596
living_room	1f6cb	emoji_u1f6cb
lizard	1f98e	emoji_u1f98e
llama	1f999	emoji_u1f999
lobster	1f99e	emoji_u1f99e
lock_with_key	1f510	emoji_u1f510
locked	1f512	emoji_u1f512
locked_bag	1f6c5	emoji_u1f6c5
locker	1f6c5	emoji_u1f6c5
log	1fab5	emoji_u1fab5
lol	1f606	emoji_u1f606
lollipop	1f36d	emoji_u1f36d
long	1fa98	emoji_u1fa98
long_drum	1fa98	emoji_u1fa98
looking	1f440	emoji_u1f440
loop	27b0	emoji_u27b0
losing_money	1f4b8	emoji_u1f4b8
lotion	1f9f4	emoji_u1f9f4
lotion_bottle	1f9f4	emoji_u1f9f4
lotus	1fab7	emoji_u1fab7
louder	1f50a	emoji_u1f50a
loudspeaker	1f4e2	emoji_u1f4e2
love	2764	emoji_u2764
love_hotel	1f3e9	emoji_u1f3e9
love_letter	1f48c	emoji_u1f48c
love_you	2764	emoji_u2764
love_you_gesture	1f91f	emoji_u1f91f
low	1faab	emoji_u1faab
low_battery	1faab	emoji_u1faab
low_brightness	1f505	emoji_u1f505
lower_left	2199	emoji_u2199
lower_right	2198	emoji_u2198
loyalty	1f510	emoji_u1f510
lucky	1f340	emoji_u1f340
luge	1f6f7	emoji_u1f6f7
luggage	1f9f3	emoji_u1f9f3
lung	1fac1	emoji_u1fac1
lungs	1fac1	emoji_u1fac1
lupine	1fabb	emoji_u1fabb
lure	1faa4	emoji_u1faa4
lust	2764 200d 1f525	emoji_u2764_200d_1f525
lying	1f925	emoji_u1f925
m	24c2	emoji_u24c2
maam	1fae1	emoji_u1fae1
mad	1f621	emoji_u1f621
mage	1f9d9	emoji_u1f9d9
maggot	1fab0	emoji_u1fab0
magic_wand	1fa84	emoji_u1fa84
magician	1fa84	emoji_u1fa84
magnet	1f9f2	emoji_u1f9f2
magnifying	1f50e	emoji_u1f50e
magnifying_glass	1f50d	emoji_u1f50d
magnifying_glass_tilted_right	1f50e	emoji_u1f50e
mahjong	1f004	emoji_u1f004
mail	2709	emoji_u2709
mail_dropoff	1f4ee	emoji_u1f4ee
mail_received	1f4e8	emoji_u1f4e8
mail_sent	1f4e9	emoji_u1f4e9
mailbox	1f4eb	emoji_u1f4eb
maintenance	1f528	emoji_u1f528
maize	1f33d	emoji_u1f33d
makeup	1fa9e	emoji_u1fa9e
malaria	1f99f	emoji_u1f99f
male	2642	emoji_u2642
male_sign	2642	emoji_u2642
malt	1f964	emoji_u1f964
mammoth	1f9a3	emoji_u1f9a3
man	1f468	emoji_u1f468
man_and_woman_couple	1f46b	emoji_u1f46b
man_and_woman_holding_hands	1f46b	emoji_u1f46b
man_artist	1f468 200d 1f3a8	emoji_u1f468_200d_1f3a8
man_astronaut	1f468 200d 1f680	emoji_u1f468_200d_1f680
man_bald	1f468 200d 1f9b2	emoji_u1f468_200d_1f9b2
man_beard	1f9d4 200d 2642	emoji_u1f9d4_200d_2642
man_biking	1f6b4 200d 2642	emoji_u1f6b4_200d_2642
man_blond_hair	1f471 200d 2642	emoji_u1f471_200d_2642
man_bouncing_ball	26f9 200d 2642	emoji_u26f9_200d_2642
man_bowing	1f647 200d 2642	emoji_u1f647_200d_2642
man_cartwheeling	1f938 200d 2642	emoji_u1f938_200d_2642
